"","demonimador","numerador","Frequência","Qtd_1_Denom","Qtd_0_Demon","D0N0","D0N1","D1N0","D1N1"
"1","Dor_costas","Dor_costas","1","128","79","79","0","0","128"
"2","Dor_pernas","Dor_costas","0.84375","64","139","68","71","10","54"
"3","Livrar_costas","Dor_costas","0.918918918918919","111","16","7","9","9","102"
"4","Livrar_perna","Dor_costas","0.571428571428571","14","113","10","103","6","8"
"5","D30","Dor_costas","0.918032786885246","61","67","32","35","5","56"
"6","RMDQ1_v1","Dor_costas","0.689189189189189","74","115","44","71","23","51"
"7","RMDQ2_v1","Dor_costas","0.721518987341772","79","110","45","65","22","57"
"8","RMDQ3_v1","Dor_costas","0.690140845070423","71","120","45","75","22","49"
"9","RMDQ4_v1","Dor_costas","0.647058823529412","51","140","49","91","18","33"
"10","RMDQ5_v1","Dor_costas","0.671875","64","127","46","81","21","43"
"11","RMDQ6_v1","Dor_costas","0.770833333333333","48","143","56","87","11","37"
"12","RMDQ7_v1","Dor_costas","0.823529411764706","34","156","61","95","6","28"
"13","RMDQ8_v1","Dor_costas","0.875","8","182","66","116","1","7"
"14","RMDQ9_v1","Dor_costas","0.827586206896552","29","161","62","99","5","24"
"15","RMDQ10_v1","Dor_costas","0.828571428571429","35","155","61","94","6","29"
"16","RMDQ11_v1","Dor_costas","0.828571428571429","35","155","61","94","6","29"
"17","RMDQ12_v1","Dor_costas","0.794871794871795","39","151","59","92","8","31"
"18","RMDQ13_v1","Dor_costas","0.75","40","150","57","93","10","30"
"19","RMDQ14_v1","Dor_costas","0.813953488372093","43","147","59","88","8","35"
"20","RMDQ15_v1","Dor_costas","0.807692307692308","26","164","62","102","5","21"
"21","RMDQ16_v1","Dor_costas","0.84375","32","158","62","96","5","27"
"22","RMDQ17_v1","Dor_costas","0.738095238095238","42","148","56","92","11","31"
"23","RMDQ18_v1","Dor_costas","0.870967741935484","31","159","63","96","4","27"
"24","RMDQ19_v1","Dor_costas","0.814814814814815","27","163","62","101","5","22"
"25","RMDQ20_v1","Dor_costas","0.84375","32","158","62","96","5","27"
"26","RMDQ21_v1","Dor_costas","0.767441860465116","43","147","57","90","10","33"
"27","RMDQ22_v1","Dor_costas","0.78125","32","158","60","98","7","25"
"28","RMDQ23_v1","Dor_costas","0.8125","32","158","61","97","6","26"
"29","RMDQ24_v1","Dor_costas","0.833333333333333","30","160","62","98","5","25"
"30","Dor_costas","Dor_pernas","0.432","125","78","68","10","71","54"
"31","Dor_pernas","Dor_pernas","1","65","139","139","0","0","65"
"32","Livrar_costas","Dor_pernas","0.4","110","15","2","13","66","44"
"33","Livrar_perna","Dor_pernas","0.928571428571429","14","111","67","44","1","13"
"34","D30","Dor_pernas","0.655737704918033","61","66","51","15","21","40"
"35","RMDQ1_v1","Dor_pernas","0.364864864864865","74","113","75","38","47","27"
"36","RMDQ2_v1","Dor_pernas","0.367088607594937","79","108","72","36","50","29"
"37","RMDQ3_v1","Dor_pernas","0.328571428571429","70","119","77","42","47","23"
"38","RMDQ4_v1","Dor_pernas","0.235294117647059","51","138","85","53","39","12"
"39","RMDQ5_v1","Dor_pernas","0.34375","64","125","82","43","42","22"
"40","RMDQ6_v1","Dor_pernas","0.375","48","141","94","47","30","18"
