;Binaria;Ordinal;rpb;Bin_0;Bin_1;Missing
283;Analgésicos;Andar_velocidade;-0.484965400343171;45;88;2
287;Analgésicos;BPI_3_v1;0.226977278706818;66;147;23
288;Analgésicos;BPI_4_v1;0.18260802749658;66;147;23
289;Analgésicos;BPI_5_v1;0.231807662998988;66;147;23
290;Analgésicos;BPI_6_v1;0.525358816279808;40;87;4
291;Analgésicos;BPI_8_v1;0.00913251434322172;33;113;14
292;Analgésicos;BPI_9a_v1;-0.0619578591635215;34;107;14
293;Analgésicos;BPI_9b_v1;-0.0262902482094436;34;107;14
294;Analgésicos;BPI_9c_v1;-0.145316323705867;34;107;14
295;Analgésicos;BPI_9d_v1;0.00078325199233669;34;107;14
296;Analgésicos;BPI_9e_v1;-0.00238011400065002;34;107;14
297;Analgésicos;BPI_9f_v1;-0.0696166842601116;34;107;14
298;Analgésicos;BPI_9g_v1;0.0278802709117306;34;107;14
284;Analgésicos;Dor_costas_VAS;0.57145848409877;57;118;6
285;Analgésicos;Dor_pernas_VAS;0.33069227724438;63;133;6
286;Analgésicos;IDADE;0.0159525933170081;65;121;16
280;Analgésicos;Licenca_Tempo;-0.195655051326347;2;4;0
278;Analgésicos;QtCirColuna;0.248048683288527;40;95;11
281;Analgésicos;Tempo_dor_costas;0.633733197683056;44;96;2
282;Analgésicos;Tempo_dor_pernas;0.429791308768722;43;96;2
279;Analgésicos;Trabalho_Cansativo;0.0389797388560572;42;92;5
99;Aposentado;Andar_velocidade;-0.214881234857641;103;31;1
103;Aposentado;BPI_3_v1;0.00222242620416838;162;37;37
104;Aposentado;BPI_4_v1;-0.0572175203446417;162;37;37
105;Aposentado;BPI_5_v1;0.00516459107999291;162;37;37
106;Aposentado;BPI_6_v1;-0.021667004847569;98;31;2
107;Aposentado;BPI_8_v1;-0.21283575194427;116;23;21
108;Aposentado;BPI_9a_v1;0.0314736459241226;108;24;23
109;Aposentado;BPI_9b_v1;-0.0317234517607508;108;24;23
110;Aposentado;BPI_9c_v1;-0.00824996035194439;108;24;23
111;Aposentado;BPI_9d_v1;0.0749794013873621;108;24;23
112;Aposentado;BPI_9e_v1;-0.0758721430731036;108;24;23
113;Aposentado;BPI_9f_v1;0.115985102491589;108;24;23
114;Aposentado;BPI_9g_v1;0.11956975795391;108;24;23
100;Aposentado;Dor_costas_VAS;0.121355022425877;133;35;13
101;Aposentado;Dor_pernas_VAS;0.092038785242803;153;36;13
102;Aposentado;IDADE;0.5859499925336;155;33;14
96;Aposentado;Licenca_Tempo;-0.500007353389554;4;2;0
94;Aposentado;QtCirColuna;0.191117236578527;102;17;27
97;Aposentado;Tempo_dor_costas;0.0100163149904319;103;34;5
98;Aposentado;Tempo_dor_pernas;-0.109308172896149;103;33;5
95;Aposentado;Trabalho_Cansativo;-0.505101728054782;105;34;0
237;Aposentado_Invalidez;Andar_velocidade;-0.408420074963896;124;8;3
241;Aposentado_Invalidez;BPI_3_v1;0.299367552924091;187;8;41
242;Aposentado_Invalidez;BPI_4_v1;0.176660161975048;187;8;41
243;Aposentado_Invalidez;BPI_5_v1;0.269372321566273;187;8;41
244;Aposentado_Invalidez;BPI_6_v1;0.0870089841341618;120;8;3
245;Aposentado_Invalidez;BPI_8_v1;0.0674648102142877;128;8;24
246;Aposentado_Invalidez;BPI_9a_v1;0.166611135776905;120;7;28
247;Aposentado_Invalidez;BPI_9b_v1;0.0401129986172785;120;7;28
248;Aposentado_Invalidez;BPI_9c_v1;0.295214328447196;120;7;28
249;Aposentado_Invalidez;BPI_9d_v1;0.211611008416195;120;7;28
250;Aposentado_Invalidez;BPI_9e_v1;0.101971972175339;120;7;28
251;Aposentado_Invalidez;BPI_9f_v1;0.185618132485641;120;7;28
252;Aposentado_Invalidez;BPI_9g_v1;0.0779355235787689;120;7;28
238;Aposentado_Invalidez;Dor_costas_VAS;0.142550183306148;158;8;15
239;Aposentado_Invalidez;Dor_pernas_VAS;0.663110192804442;177;8;17
240;Aposentado_Invalidez;IDADE;0.0179857751717594;177;8;17
234;Aposentado_Invalidez;Licenca_Tempo;0.9999;4;2;0
232;Aposentado_Invalidez;QtCirColuna;0.668878110576698;113;4;29
235;Aposentado_Invalidez;Tempo_dor_costas;0.188155177328236;129;8;5
236;Aposentado_Invalidez;Tempo_dor_pernas;0.197177630750121;128;8;5
233;Aposentado_Invalidez;Trabalho_Cansativo;-0.100674935623405;129;8;2
605;Casado_Amasiado;Andar_velocidade;-0.039784816645455;78;55;2
609;Casado_Amasiado;BPI_3_v1;0.0158360465348592;113;85;38
610;Casado_Amasiado;BPI_4_v1;0.030795802236727;113;85;38
611;Casado_Amasiado;BPI_5_v1;-0.0248589454648985;113;85;38
612;Casado_Amasiado;BPI_6_v1;0.0919341766788926;76;55;0
613;Casado_Amasiado;BPI_8_v1;0.0472944044931058;76;63;21
614;Casado_Amasiado;BPI_9a_v1;-0.269489989197;74;57;24
615;Casado_Amasiado;BPI_9b_v1;-0.221601559832144;74;57;24
616;Casado_Amasiado;BPI_9c_v1;-0.323579748523521;74;57;24
617;Casado_Amasiado;BPI_9d_v1;-0.198029640928171;74;57;24
618;Casado_Amasiado;BPI_9e_v1;-0.220456770587985;74;57;24
619;Casado_Amasiado;BPI_9f_v1;-0.318044940238188;74;57;24
620;Casado_Amasiado;BPI_9g_v1;-0.254117585319103;74;57;24
606;Casado_Amasiado;Dor_costas_VAS;0.0310085418034939;92;72;17
607;Casado_Amasiado;Dor_pernas_VAS;-0.107207059474284;100;82;20
608;Casado_Amasiado;IDADE;-0.35275312139268;115;84;3
602;Casado_Amasiado;Licenca_Tempo;-0.86188902758821;3;3;0
600;Casado_Amasiado;QtCirColuna;-0.119622922149361;63;48;35
603;Casado_Amasiado;Tempo_dor_costas;0.107757636037869;77;57;8
604;Casado_Amasiado;Tempo_dor_pernas;0.114238196200257;77;56;8
601;Casado_Amasiado;Trabalho_Cansativo;0.283597579391937;77;55;7
53;Cirurgia_coluna;Andar_velocidade;0.0604613601953598;63;55;17
57;Cirurgia_coluna;BPI_3_v1;-0.0156351414823113;131;79;26
58;Cirurgia_coluna;BPI_4_v1;0.0331859163026207;131;79;26
59;Cirurgia_coluna;BPI_5_v1;-0.0166483808681267;131;79;26
60;Cirurgia_coluna;BPI_6_v1;-0.0997827808831436;59;55;17
61;Cirurgia_coluna;BPI_8_v1;0.0368976051282242;87;52;21
62;Cirurgia_coluna;BPI_9a_v1;0.114320829605636;84;50;21
63;Cirurgia_coluna;BPI_9b_v1;0.111795834263073;84;50;21
64;Cirurgia_coluna;BPI_9c_v1;0.0898220522257463;84;50;21
65;Cirurgia_coluna;BPI_9d_v1;0.0742039191448873;84;50;21
66;Cirurgia_coluna;BPI_9e_v1;0.072605070074739;84;50;21
67;Cirurgia_coluna;BPI_9f_v1;-0.00976626555392911;84;50;21
68;Cirurgia_coluna;BPI_9g_v1;0.0617683279378176;84;50;21
54;Cirurgia_coluna;Dor_costas_VAS;-0.0230483886761674;97;67;17
55;Cirurgia_coluna;Dor_pernas_VAS;0.254094569408531;110;74;18
56;Cirurgia_coluna;IDADE;0.0293669103146815;105;71;26
50;Cirurgia_coluna;Licenca_Tempo;-0.9999;1;2;3
48;Cirurgia_coluna;QtCirColuna;0.863549537927935;75;55;16
51;Cirurgia_coluna;Tempo_dor_costas;0.0599722393311926;68;58;16
52;Cirurgia_coluna;Tempo_dor_pernas;0.116972799688928;67;57;17
49;Cirurgia_coluna;Trabalho_Cansativo;-0.127410225065;66;56;17
1755;D29;Andar_velocidade;-0.264137776122486;88;41;6
1759;D29;BPI_3_v1;0.231405391482933;90;42;104
1760;D29;BPI_4_v1;0.191147019875978;90;42;104
1761;D29;BPI_5_v1;0.264471102385929;90;42;104
1762;D29;BPI_6_v1;0.211415244757634;89;42;0
1763;D29;BPI_8_v1;0.182328319934791;61;37;62
1764;D29;BPI_9a_v1;-0.142401107846605;52;32;71
1765;D29;BPI_9b_v1;-0.135620262910864;52;32;71
1766;D29;BPI_9c_v1;-0.00710358289184854;52;32;71
1767;D29;BPI_9d_v1;-0.135232202496392;52;32;71
1768;D29;BPI_9e_v1;-0.103688342425643;52;32;71
1769;D29;BPI_9f_v1;-0.102191551946046;52;32;71
1770;D29;BPI_9g_v1;-0.134422970438478;52;32;71
1756;D29;Dor_costas_VAS;0.22126341844316;87;41;53
1757;D29;Dor_pernas_VAS;0.400412302441209;86;41;75
1758;D29;IDADE;0.115919599091902;93;42;67
1752;D29;Licenca_Tempo;-0.395458746108952;5;1;0
1750;D29;QtCirColuna;0.152142349413609;32;19;95
1753;D29;Tempo_dor_costas;0.362040008326239;89;42;11
1754;D29;Tempo_dor_pernas;0.43940050120564;89;42;10
1751;D29;Trabalho_Cansativo;-0.0213058938985593;90;42;7
1847;D30;Andar_velocidade;-0.465011841756653;69;60;6
1851;D30;BPI_3_v1;0.422720750902932;70;62;104
1852;D30;BPI_4_v1;0.416275039251861;70;62;104
1853;D30;BPI_5_v1;0.430694930921862;70;62;104
1854;D30;BPI_6_v1;0.517612138072164;69;62;0
1855;D30;BPI_8_v1;-0.00121132734611378;42;56;62
1856;D30;BPI_9a_v1;-0.156070125396308;35;49;71
1857;D30;BPI_9b_v1;-0.189825078468239;35;49;71
1858;D30;BPI_9c_v1;0.104256043852838;35;49;71
1859;D30;BPI_9d_v1;0.0226973229867026;35;49;71
1860;D30;BPI_9e_v1;-0.12494470977589;35;49;71
1861;D30;BPI_9f_v1;-0.116657136282035;35;49;71
1862;D30;BPI_9g_v1;-0.111597586074726;35;49;71
1848;D30;Dor_costas_VAS;0.494060716578979;67;61;53
1849;D30;Dor_pernas_VAS;0.503584403716498;66;61;75
1850;D30;IDADE;0.162462937440564;74;61;67
1844;D30;Licenca_Tempo;-0.195655051326347;2;4;0
1842;D30;QtCirColuna;0.514526835671869;23;28;95
1845;D30;Tempo_dor_costas;0.566037439084307;69;62;11
1846;D30;Tempo_dor_pernas;0.48940449627493;69;62;10
1843;D30;Trabalho_Cansativo;-0.038216086947469;70;62;7
145;Desempregado;Andar_velocidade;-0.122762559231319;105;27;3
149;Desempregado;BPI_3_v1;0.0547647687261911;166;30;40
150;Desempregado;BPI_4_v1;0.0661505918796811;166;30;40
151;Desempregado;BPI_5_v1;0.0282589921234608;166;30;40
152;Desempregado;BPI_6_v1;0.177855636994445;103;25;3
153;Desempregado;BPI_8_v1;0.035238270788469;113;24;23
154;Desempregado;BPI_9a_v1;-0.116850894093075;107;22;26
155;Desempregado;BPI_9b_v1;-0.171315081838054;107;22;26
156;Desempregado;BPI_9c_v1;0.0508195159039277;107;22;26
157;Desempregado;BPI_9d_v1;-0.0309456376133754;107;22;26
158;Desempregado;BPI_9e_v1;-0.123829243303465;107;22;26
159;Desempregado;BPI_9f_v1;-0.00823441914361553;107;22;26
160;Desempregado;BPI_9g_v1;-0.134863771375634;107;22;26
146;Desempregado;Dor_costas_VAS;0.33508141402358;137;28;16
147;Desempregado;Dor_pernas_VAS;0.0978301618203458;156;30;16
148;Desempregado;IDADE;0.0464266122402861;159;26;17
142;Desempregado;Licenca_Tempo;0.608704604126414;2;4;0
140;Desempregado;QtCirColuna;0.24589518694582;99;18;29
143;Desempregado;Tempo_dor_costas;0.168780340750796;106;28;8
144;Desempregado;Tempo_dor_pernas;-0.0911850095973537;106;27;8
141;Desempregado;Trabalho_Cansativo;-0.383928223216064;108;29;2
375;Dor_costas;Andar_velocidade;-0.39518327789799;39;93;3
379;Dor_costas;BPI_3_v1;0.437429401220202;79;128;29
380;Dor_costas;BPI_4_v1;0.382860131968008;79;128;29
381;Dor_costas;BPI_5_v1;0.415632730487017;79;128;29
382;Dor_costas;BPI_6_v1;0.980412947800817;36;91;4
383;Dor_costas;BPI_8_v1;-0.202747746771368;38;107;15
384;Dor_costas;BPI_9a_v1;0.0238055767827539;41;98;16
385;Dor_costas;BPI_9b_v1;-0.00880696190208397;41;98;16
386;Dor_costas;BPI_9c_v1;-0.0975760263436387;41;98;16
387;Dor_costas;BPI_9d_v1;0.120050519974788;41;98;16
388;Dor_costas;BPI_9e_v1;-0.0836306042953777;41;98;16
389;Dor_costas;BPI_9f_v1;-0.0683936393658935;41;98;16
390;Dor_costas;BPI_9g_v1;-0.0660055971732233;41;98;16
376;Dor_costas;Dor_costas_VAS;0.9999;69;112;0
377;Dor_costas;Dor_pernas_VAS;0.403336428136101;77;124;1
378;Dor_costas;IDADE;0.0848597948645596;76;107;19
372;Dor_costas;Licenca_Tempo;NA;0;6;0
370;Dor_costas;QtCirColuna;0.351023058460838;55;74;17
373;Dor_costas;Tempo_dor_costas;0.6942251806513;37;100;5
374;Dor_costas;Tempo_dor_pernas;0.218653474049053;37;98;6
371;Dor_costas;Trabalho_Cansativo;-0.026869827188509;36;98;5
421;Dor_pernas;Andar_velocidade;-0.47157495818379;76;55;4
425;Dor_pernas;BPI_3_v1;0.375917997010811;139;65;32
426;Dor_pernas;BPI_4_v1;0.414752346540182;139;65;32
427;Dor_pernas;BPI_5_v1;0.418344462422452;139;65;32
428;Dor_pernas;BPI_6_v1;0.46120768173004;72;55;4
429;Dor_pernas;BPI_8_v1;-0.224914455256748;86;58;16
430;Dor_pernas;BPI_9a_v1;0.170477052720771;83;55;17
431;Dor_pernas;BPI_9b_v1;0.188501414841002;83;55;17
432;Dor_pernas;BPI_9c_v1;0.0770296123522386;83;55;17
433;Dor_pernas;BPI_9d_v1;0.207485426606975;83;55;17
434;Dor_pernas;BPI_9e_v1;0.207672114251021;83;55;17
435;Dor_pernas;BPI_9f_v1;0.186693953353469;83;55;17
436;Dor_pernas;BPI_9g_v1;0.0803716975745577;83;55;17
422;Dor_pernas;Dor_costas_VAS;0.486730369929579;117;62;2
