"Binaria","Ordinal","rpb","pvalue","Bin_0","Bin_1","Missing"
"Dor nas costas","Oswestry1_v1",0.298485939955598,0.000808024532963676,76,126,30
"Dor nas costas","Oswestry2_v1",0.29994874741216,0.00076011832247663,76,126,30
"Dor nas costas","Oswestry3_v1",0.214569497705962,0.0167675698132687,76,126,30
"Dor nas costas","Oswestry4_v1",0.267418272007985,0.002763343135375,76,126,30
"Dor nas costas","Oswestry5_v1",0.198282208123917,0.0272525097680687,76,126,30
"Dor nas costas","Oswestry6_v1",0.219602519747768,0.0143369187389967,76,126,30
"Dor nas costas","Oswestry7_v1",0.248791571965719,0.00543278302484067,76,126,30
"Dor nas costas","Oswestry8_v1",0.21170091898799,0.0183076711854943,76,126,30
"Dor nas costas","Oswestry9_v1",0.258040524642542,0.00390559602758833,76,126,30
"Dor nas costas","Oswestry10_v1",0.205416650598464,0.0221167027459703,76,126,30
"Dor nas costas","Somatoria_Owestry",0.260412112044652,0.00358228267512483,76,126,30
"Dor nas costas","SF12_M1_1_v1",0.205208793837883,0.0222535875377312,76,126,30
"Dor nas costas","SF12_M1_2_v1",-0.335708944455789,0.000155427778142115,76,126,30
"Dor nas costas","SF12_M1_3_v1",-0.256488728323266,0.00413115042864512,76,126,30
"Dor nas costas","SF12_M1_4_v1",-0.278820552149209,0.00178638497413413,76,126,30
"Dor nas costas","SF12_M1_5_v1",-0.315819522079328,0.000384252609351167,76,126,30
"Dor nas costas","SF12_M1_6_v1",-0.251295158997682,0.00497388159072548,76,126,30
"Dor nas costas","SF12_M1_7_v1",-0.265983962275044,0.0029156758813984,76,126,30
"Dor nas costas","SF12_M1_8_v1",0.350686575879759,7.56995820182395e-05,76,126,30
"Dor nas costas","SF12_M1_9_v1",-0.340319027680549,0.000124992356473823,76,126,30
"Dor nas costas","SF12_M1_10_v1",-0.321130448096409,0.000303425497637898,76,126,30
"Dor nas costas","SF12_M1_11_v1",-0.347590554081354,8.80749530424324e-05,76,126,30
"Dor nas costas","SF12_M1_12_v1",-0.320996999585607,0.00030524635253395,76,126,30
"Dor nas pernas","Oswestry1_v1",0.303773189218174,0.000879209265980891,135,65,32
"Dor nas pernas","Oswestry2_v1",0.203309962994889,0.027163471284477,135,65,32
"Dor nas pernas","Oswestry7_v1",0.241427108143923,0.00853642098796953,135,65,32
"Dor nas pernas","Oswestry9_v1",0.193529856431141,0.0355829482551547,135,65,32
"Dor nas pernas","Oswestry10_v1",0.184876261871784,0.0447817778927855,135,65,32
"Dor nas pernas","Somatoria_Owestry",0.20008446998309,0.0297287089490044,135,65,32
"Dor nas pernas","SF12_M1_2_v1",-0.281403327431296,0.0021022766617637,135,65,32
"Dor nas pernas","SF12_M1_3_v1",-0.303847167695474,0.000876584117878658,135,65,32
"Dor nas pernas","SF12_M1_4_v1",-0.247317437255184,0.00702975440189783,135,65,32
"Dor nas pernas","SF12_M1_5_v1",-0.25899730308259,0.00472402886328224,135,65,32
"Dor nas pernas","SF12_M1_6_v1",-0.250702203326543,0.0062756016500596,135,65,32
"Dor nas pernas","SF12_M1_7_v1",-0.287860664577196,0.001645380031211,135,65,32
"Dor nas pernas","SF12_M1_8_v1",0.20989296401957,0.0225113468142339,135,65,32
"Dor nas pernas","SF12_M1_9_v1",-0.299169045682445,0.00105756285168483,135,65,32
"Dor nas pernas","SF12_M1_10_v1",-0.284148026960534,0.00189555209957478,135,65,32
"Dor nas pernas","SF12_M1_11_v1",-0.273344000855725,0.0028333589484698,135,65,32
"Dor nas pernas","SF12_M1_12_v1",-0.238306651795795,0.00944540403538263,135,65,32
"Lombalgia","Oswestry1_v1",0.376600278090726,0.000546468456301393,68,61,103
"Lombalgia","Oswestry2_v1",0.373637667766869,0.00060720496371028,68,61,103
"Lombalgia","Oswestry3_v1",0.244772608029538,0.0266849727644234,68,61,103
"Lombalgia","Oswestry4_v1",0.314729909437199,0.00413019374739007,68,61,103
