Binaria,Ordinal,rpb,Bin_0,Bin_1,Missing
DN - Alfinetada e Agulhada,BPI - Atividade geral,0.839159877,158,65,9
DN - Alfinetada e Agulhada,BPI - Relacionamento com outras pessoas,0.792990822,158,65,9
DN - Alfinetada e Agulhada,BPI - Humor,0.772165751,158,65,9
DN - Alfinetada e Agulhada,BPI - Trabalho,0.767509082,158,65,9
DN - Alfinetada e Agulhada,BPI - Sono,0.706460975,158,65,9
DN - Alfinetada e Agulhada,BPI - Habilidade para apreciar a vida,0.703115681,158,65,9
DN - Alfinetada e Agulhada,BPI - Habilidade de caminhar,0.689588837,158,65,9
DN - Formigamento,BPI - Humor,0.59271503,166,57,9
DN - Choque elétrico,BPI - Relacionamento com outras pessoas,0.585280695,162,61,9
DN - Choque elétrico,BPI - Humor,0.563292379,162,61,9
DN - Choque elétrico,BPI - Atividade geral,0.558524107,162,61,9
DN - Adormecimento,BPI - Atividade geral,0.551182586,158,62,12
DN - Adormecimento,BPI - Humor,0.54924667,158,62,12
DN - Choque elétrico,BPI - Trabalho,0.543506598,162,61,9
DN - Formigamento,BPI - Relacionamento com outras pessoas,0.542231835,166,57,9
DN - Adormecimento,SF12_M1_8_v1,0.525768341,156,61,15
DN - Adormecimento,BPI - Relacionamento com outras pessoas,0.520819655,158,62,12
DN - Formigamento,BPI - Trabalho,0.519972914,166,57,9
DN - Adormecimento,BPI - Habilidade para apreciar a vida,0.503600803,158,62,12
DN - Adormecimento,SF12_M1_3_v1,-0.504657032,156,61,15
DN - Adormecimento,SF12_M1_4_v1,-0.521112979,156,61,15
DN - Adormecimento,SF12_M1_2_v1,-0.534963948,156,61,15
DN - Adormecimento,SF12_M1_9_v1,-0.537983387,156,61,15
DN - Adormecimento,Quantos metros consegue andar em velocidade normal ,-0.557735916,87,33,15
DN - Adormecimento,SF12_M1_5_v1,-0.587595414,156,61,15
