"","Binaria","Ordinal","rpb","Bin_0","Bin_1","Missing"
"1","Fuma","Se_SP_haquantosanos","-0.463069363258879","13","12","0"
"2","Fuma","QtCirColuna","0.219080652643125","94","18","34"
"3","Fuma","Trabalho_Cansativo","-0.0372533745173514","84","45","10"
"4","Fuma","Licenca_Tempo","0.304352302063207","4","2","0"
"5","Fuma","Tempo_dor_costas","-0.189567426515991","84","46","12"
"6","Fuma","Tempo_dor_pernas","-0.189297267626674","84","46","11"
"7","Fuma","Andar_velocidade","0.0905613858737134","83","46","6"
"8","Fuma","Dor_costas_VAS","0.101878463489346","114","46","21"
"9","Fuma","Dor_pernas_VAS","0.275285817799327","135","46","21"
"10","Fuma","IDADE","0.0303389515351804","147","46","9"
"11","Fuma","BPI_3_v1","0.157338036250837","151","46","39"
"12","Fuma","BPI_4_v1","0.0923312574811744","151","46","39"
"13","Fuma","BPI_5_v1","0.122635460043813","151","46","39"
"14","Fuma","BPI_6_v1","-0.125797542955501","78","46","7"
"15","Fuma","BPI_8_v1","-0.206128206307697","106","33","21"
"16","Fuma","BPI_9a_v1","0.251038229518139","98","34","23"
"17","Fuma","BPI_9b_v1","0.176343520516621","98","34","23"
"18","Fuma","BPI_9c_v1","0.0661078624586985","98","34","23"
"19","Fuma","BPI_9d_v1","0.11021258438001","98","34","23"
"20","Fuma","BPI_9e_v1","0.131912616162632","98","34","23"
"21","Fuma","BPI_9f_v1","0.30033627484156","98","34","23"
"22","Fuma","BPI_9g_v1","0.185605751883724","98","34","23"
"23","Fuma","Oswestry1_v1","0.0329733989628633","148","45","39"
"24","Fuma","Oswestry2_v1","0.0296804799223146","148","45","39"
"25","Fuma","Oswestry3_v1","-0.0233950739957337","148","45","39"
"26","Fuma","Oswestry4_v1","-0.0141178304057316","148","45","39"
"27","Fuma","Oswestry5_v1","-0.0163538492380313","148","45","39"
"28","Fuma","Oswestry6_v1","0.0323581573127939","148","45","39"
"29","Fuma","Oswestry7_v1","0.106431065286907","148","45","39"
