,Binaria,Ordinal,rpb,Bin_0,Bin_1,Missing
1,Fuma,Há.quanto.tempo.em.São.Paulo.se.de.outro.local,-0.463069363,13,12,0
2,Fuma,Quantidade.de.cirurgias.na.coluna,0.219080653,94,18,34
3,Fuma,Intensidade.do.trabalho.cansativo,-0.037253375,84,45,10
4,Fuma,Tempo.de.licença.médica,0.304352302,4,2,0
5,Fuma,Tempo.com.a.dor.nas.costas,-0.189567427,84,46,12
6,Fuma,Tempo.com.a.dor.que.irradia.para.as.pernas,-0.189297268,84,46,11
7,Fuma,Quantos.metros.consegue.andar.em.velocidade.normal,0.090561386,83,46,6
8,Fuma,Intensidade.da.dor.nas.costas,0.101878463,114,46,21
9,Fuma,Intensidade.da.dor.nas.pernas,0.275285818,135,46,21
10,Fuma,IDADE,0.030338952,147,46,9
11,Fuma,BPI_3_v1,0.157338036,151,46,39
12,Fuma,BPI_4_v1,0.092331257,151,46,39
13,Fuma,BPI_5_v1,0.12263546,151,46,39
14,Fuma,BPI_6_v1,-0.125797543,78,46,7
15,Fuma,BPI_8_v1,-0.206128206,106,33,21
16,Fuma,BPI_9a_v1,0.241653405,148,45,39
17,Fuma,BPI_9b_v1,0.193111652,148,45,39
18,Fuma,BPI_9c_v1,0.119557545,148,45,39
19,Fuma,BPI_9d_v1,0.148159406,148,45,39
20,Fuma,BPI_9e_v1,0.163879984,148,45,39
21,Fuma,BPI_9f_v1,0.280499646,148,45,39
22,Fuma,BPI_9g_v1,0.20000822,148,45,39
23,Fuma,Oswestry1_v1,0.032973399,148,45,39
24,Fuma,Oswestry2_v1,0.02968048,148,45,39
25,Fuma,Oswestry3_v1,-0.023395074,148,45,39
26,Fuma,Oswestry4_v1,-0.01411783,148,45,39
27,Fuma,Oswestry5_v1,-0.016353849,148,45,39
28,Fuma,Oswestry6_v1,0.032358157,148,45,39
29,Fuma,Oswestry7_v1,0.106431065,148,45,39
30,Fuma,Oswestry8_v1,-0.08421562,148,45,39
31,Fuma,Oswestry9_v1,-0.007577845,148,45,39
32,Fuma,Oswestry10_v1,-0.083192967,148,45,39
33,Fuma,Somatoria_Owestry,-0.005766131,148,45,39
34,Fuma,Ord_RMDQ,0.124377523,148,45,39
35,Fuma,SF12_M1_1_v1,-0.081144293,148,45,39
36,Fuma,SF12_M1_2_v1,-0.095295182,148,45,39
37,Fuma,SF12_M1_3_v1,-0.007933002,148,45,39
38,Fuma,SF12_M1_4_v1,-0.017454952,148,45,39
39,Fuma,SF12_M1_5_v1,-0.003990885,148,45,39
40,Fuma,SF12_M1_6_v1,-0.087827984,148,45,39
41,Fuma,SF12_M1_7_v1,-0.113793768,148,45,39
42,Fuma,SF12_M1_8_v1,0.064999598,148,45,39
43,Fuma,SF12_M1_9_v1,0.035997215,148,45,39
44,Fuma,SF12_M1_10_v1,0.013946105,148,45,39
45,Fuma,SF12_M1_11_v1,-0.032290316,148,45,39
46,Fuma,SF12_M1_12_v1,0.096481898,148,45,39
47,Cirurgia_coluna,Há.quanto.tempo.em.São.Paulo.se.de.outro.local,-0.613130017,14,7,4
48,Cirurgia_coluna,Quantidade.de.cirurgias.na.coluna,0.863549538,75,55,16
49,Cirurgia_coluna,Intensidade.do.trabalho.cansativo,-0.127410225,66,56,17
50,Cirurgia_coluna,Tempo.de.licença.médica,-0.9999,1,2,3
51,Cirurgia_coluna,Tempo.com.a.dor.nas.costas,0.059972239,68,58,16
52,Cirurgia_coluna,Tempo.com.a.dor.que.irradia.para.as.pernas,0.1169728,67,57,17
53,Cirurgia_coluna,Quantos.metros.consegue.andar.em.velocidade.normal,0.06046136,63,55,17
54,Cirurgia_coluna,Intensidade.da.dor.nas.costas,-0.023048389,97,67,17
55,Cirurgia_coluna,Intensidade.da.dor.nas.pernas,0.254094569,110,74,18
56,Cirurgia_coluna,IDADE,0.02936691,105,71,26
57,Cirurgia_coluna,BPI_3_v1,-0.015635141,131,79,26
58,Cirurgia_coluna,BPI_4_v1,0.033185916,131,79,26
59,Cirurgia_coluna,BPI_5_v1,-0.016648381,131,79,26
60,Cirurgia_coluna,BPI_6_v1,-0.099782781,59,55,17
