,denominador,numerador,Frequência,P.value,Qtd_1_Denom,Qtd_0_Demon,D0N0,D0N1,D1N0,D1N1
1,DN4 - Burning,Painkillers,0.795698925,0.001204309,93,105,44,61,19,74
2,DN4 - Burning,Back pain ,0.686046512,0.049836366,86,106,48,58,27,59
5,DN4 - Painful cold feeling,Married,0.675,0.00050022,40,142,90,52,13,27
7,DN4 - Electric shock,Low back pain ,0.638888889,0.02147444,36,83,49,34,13,23
8,DN4 - Numbness,Low back pain ,0.636363636,0.028312243,33,85,50,35,12,21
11,DN4 - Electric shock,DN4 - Burning,0.754098361,5.37E-08,61,159,104,55,15,46
12,DN4 - Paresthesia,DN4 - Burning,0.707692308,1.65E-06,65,155,100,55,19,46
13,DN4 - Falling asleep,DN4 - Burning,0.741935484,1.34E-07,62,158,103,55,16,46
14,DN4 - Tingling,DN4 - Electric shock,0.631578947,2.09E-12,57,166,141,25,21,36
15,DN4 - Paresthesia,DN4 - Electric shock,0.646153846,1.18E-15,65,158,139,19,23,42
19,DN4 - Electric shock,DN4 - Paresthesia,0.68852459,1.18E-15,61,162,139,23,19,42
20,DN4 - Tingling,DN4 - Paresthesia,0.649122807,5.71E-12,57,166,138,28,20,37
