"Binaria","Ordinal","rpb","pvalue","Bin_0","Bin_1","Missing"
"Dor nas costas","SF12_M1_2_v1",-0.335708944455789,0.000155427778142115,76,126,30
"Dor nas costas","SF12_M1_5_v1",-0.315819522079328,0.000384252609351167,76,126,30
"Dor nas costas","SF12_M1_8_v1",0.350686575879759,7.56995820182395e-05,76,126,30
"Dor nas costas","SF12_M1_9_v1",-0.340319027680549,0.000124992356473823,76,126,30
"Dor nas costas","SF12_M1_10_v1",-0.321130448096409,0.000303425497637898,76,126,30
"Dor nas costas","SF12_M1_11_v1",-0.347590554081354,8.80749530424324e-05,76,126,30
"Dor nas costas","SF12_M1_12_v1",-0.320996999585607,0.00030524635253395,76,126,30
"Dor nas pernas","Oswestry1_v1",0.303773189218174,0.000879209265980891,135,65,32
"Dor nas pernas","SF12_M1_3_v1",-0.303847167695474,0.000876584117878658,135,65,32
"Lombalgia","Oswestry1_v1",0.376600278090726,0.000546468456301393,68,61,103
"Lombalgia","Oswestry2_v1",0.373637667766869,0.00060720496371028,68,61,103
"Lombalgia","Oswestry4_v1",0.314729909437199,0.00413019374739007,68,61,103
"Lombalgia","Oswestry9_v1",0.321859305615899,0.00333280112250728,68,61,103
"Lombalgia","Oswestry10_v1",0.307713485635201,0.00507786486805983,68,61,103
"Lombalgia","Somatoria_Owestry",0.309760937499734,0.00478303822625195,68,61,103
"Lombalgia","SF12_M1_1_v1",0.431251377427216,6.63242099082304e-05,68,61,103
"Lombalgia","SF12_M1_2_v1",-0.404098586675234,0.000196792029736901,68,61,103
"Lombalgia","SF12_M1_3_v1",-0.475797275630245,9.29110372742372e-06,68,61,103
"Lombalgia","SF12_M1_4_v1",-0.511817007450052,1.58842704489856e-06,68,61,103
"Lombalgia","SF12_M1_5_v1",-0.464982814512758,1.5298574994852e-05,68,61,103
"Lombalgia","SF12_M1_6_v1",-0.472819193400877,1.06739546867991e-05,68,61,103
"Lombalgia","SF12_M1_7_v1",-0.490186398950592,4.6796623709159e-06,68,61,103
"Lombalgia","SF12_M1_8_v1",0.352672274842889,0.00124838705966128,68,61,103
"Lombalgia","SF12_M1_9_v1",-0.375056823606999,0.000577375715943107,68,61,103
"Lombalgia","SF12_M1_10_v1",-0.302410315029815,0.00591834580154683,68,61,103
"Lombalgia","SF12_M1_11_v1",-0.368000026484866,0.000740238145256176,68,61,103
"Lombalgia","SF12_M1_12_v1",-0.357401732336244,0.00106509053665016,68,61,103
