"denominador","numerador","Frequência","P-value","Qtd_1_Denom","Qtd_0_Demon","D0N0","D0N1","D1N0","D1N1"
"RMDQ6_v1","Dor nas costas",0.770833333333333,0.0412921038496754,48,143,56,87,11,37
"Lombalgia","Dor nas pernas",0.655737704918033,1.12376429601106e-06,61,66,51,15,21,40
"RMDQ19_v1","Dor nas pernas",0.518518518518518,0.0413763918885079,27,161,110,51,13,14
"Dor nas pernas","Lombalgia",0.727272727272727,1.12376429601106e-06,55,72,51,21,15,40
"RMDQ3_v1","Lombalgia",0.666666666666667,0.0417661530807971,36,82,44,38,12,24
"RMDQ3_v1","RMDQ1_v1",0.607594936708861,8.13536480635045e-07,78,141,104,37,30,48
"RMDQ4_v1","RMDQ1_v1",0.5,0.0249803320986608,53,166,108,58,26,27
"RMDQ5_v1","RMDQ1_v1",0.625,2.38752129181465e-06,72,147,107,40,27,45
"RMDQ6_v1","RMDQ1_v1",0.535714285714286,0.0264557483071908,56,163,108,55,26,30
"RMDQ11_v1","RMDQ1_v1",0.714285714285714,7.5201692089832e-06,42,177,122,55,12,30
"RMDQ12_v1","RMDQ1_v1",0.75,2.1372128783049e-07,44,175,123,52,11,33
"RMDQ13_v1","RMDQ1_v1",0.717391304347826,1.41417293958435e-06,46,173,121,52,13,33
"RMDQ17_v1","RMDQ1_v1",0.714285714285714,5.99187808282579e-07,49,170,120,50,14,35
"RMDQ3_v1","RMDQ2_v1",0.670886075949367,6.34975435763731e-09,78,141,104,37,25,53
"RMDQ4_v1","RMDQ2_v1",0.574074074074074,0.00281644340627836,53,166,107,59,22,31
"RMDQ5_v1","RMDQ2_v1",0.680555555555556,7.65572292102654e-08,72,147,106,41,23,49
"RMDQ6_v1","RMDQ2_v1",0.553571428571429,0.0353763368153779,56,163,104,59,25,31
"RMDQ13_v1","RMDQ2_v1",0.695652173913043,4.94798601733118e-05,46,173,115,58,14,32
"RMDQ17_v1","RMDQ2_v1",0.755102040816326,1.61969694346102e-07,49,170,117,53,12,37
"Lombalgia","RMDQ3_v1",0.387096774193548,0.0417661530807971,62,56,44,12,38,24
"RMDQ1_v1","RMDQ3_v1",0.564705882352941,8.13536480635045e-07,85,134,104,30,37,48
"RMDQ2_v1","RMDQ3_v1",0.588888888888889,6.34975435763731e-09,90,129,104,25,37,53
"RMDQ14_v1","RMDQ3_v1",0.755102040816326,5.59488249261901e-11,49,171,129,42,12,37
"RMDQ1_v1","RMDQ4_v1",0.317647058823529,0.0249803320986608,85,134,108,26,58,27
"RMDQ2_v1","RMDQ4_v1",0.344444444444444,0.00281644340627836,90,129,107,22,59,31
"RMDQ6_v1","RMDQ4_v1",0.56140350877193,2.36888292597745e-10,57,164,141,23,25,32
"RMDQ11_v1","RMDQ4_v1",0.428571428571429,0.00217179157532563,42,178,142,36,24,18
"RMDQ12_v1","RMDQ4_v1",0.363636363636364,0.0416910696342506,44,176,138,38,28,16
"RMDQ13_v1","RMDQ4_v1",0.369565217391304,0.0278522648007559,46,174,137,37,29,17
"RMDQ14_v1","RMDQ4_v1",0.36734693877551,0.0245223053717586,49,171,135,36,31,18
"RMDQ17_v1","RMDQ4_v1",0.387755102040816,0.00865561410133531,49,171,136,35,30,19
"RMDQ21_v1","RMDQ4_v1",0.458333333333333,0.000106233965949975,48,172,140,32,26,22
"RMDQ22_v1","RMDQ4_v1",0.394736842105263,0.0187244284221641,38,182,143,39,23,15
"RMDQ1_v1","RMDQ5_v1",0.529411764705882,2.38752129181465e-06,85,134,107,27,40,45
"RMDQ2_v1","RMDQ5_v1",0.544444444444444,7.65572292102654e-08,90,129,106,23,41,49
"RMDQ14_v1","RMDQ5_v1",0.755102040816326,4.50404679452514e-13,49,171,136,35,12,37
"Dor nas costas","RMDQ6_v1",0.298387096774194,0.0412921038496754,124,67,56,11,87,37
"RMDQ1_v1","RMDQ6_v1",0.352941176470588,0.0264557483071908,85,134,108,26,55,30
"RMDQ2_v1","RMDQ6_v1",0.344444444444444,0.0353763368153779,90,129,104,25,59,31
"RMDQ4_v1","RMDQ6_v1",0.581818181818182,2.36888292597745e-10,55,166,141,25,23,32
"RMDQ14_v1","RMDQ6_v1",0.693877551020408,1.1681741522927e-15,49,171,149,22,15,34
"RMDQ21_v1","RMDQ6_v1",0.729166666666667,1.37369259993242e-17,48,172,151,21,13,35
"RMDQ1_v1","RMDQ11_v1",0.352941176470588,7.5201692089832e-06,85,134,122,12,55,30
"RMDQ4_v1","RMDQ11_v1",0.333333333333333,0.00217179157532563,54,166,142,24,36,18
"RMDQ1_v1","RMDQ12_v1",0.388235294117647,2.1372128783049e-07,85,134,123,11,52,33
"RMDQ4_v1","RMDQ12_v1",0.296296296296296,0.0416910696342506,54,166,138,28,38,16
"RMDQ17_v1","RMDQ12_v1",0.673469387755102,5.5520928346739e-21,49,171,160,11,16,33
"RMDQ1_v1","RMDQ13_v1",0.388235294117647,1.41417293958435e-06,85,134,121,13,52,33
"RMDQ2_v1","RMDQ13_v1",0.355555555555556,4.94798601733118e-05,90,129,115,14,58,32
"RMDQ4_v1","RMDQ13_v1",0.314814814814815,0.0278522648007559,54,166,137,29,37,17
"RMDQ14_v1","RMDQ13_v1",0.653061224489796,4.38583964487606e-18,49,171,157,14,17,32
"RMDQ17_v1","RMDQ13_v1",0.693877551020408,2.92919435879067e-21,49,171,159,12,15,34
"RMDQ21_v1","RMDQ13_v1",0.6875,3.02717342793665e-20,48,172,159,13,15,33
"RMDQ3_v1","RMDQ14_v1",0.468354430379747,5.59488249261901e-11,79,141,129,12,42,37
"RMDQ4_v1","RMDQ14_v1",0.333333333333333,0.0245223053717586,54,166,135,31,36,18
"RMDQ5_v1","RMDQ14_v1",0.513888888888889,4.50404679452514e-13,72,148,136,12,35,37
"RMDQ6_v1","RMDQ14_v1",0.607142857142857,1.1681741522927e-15,56,164,149,15,22,34
"RMDQ13_v1","RMDQ14_v1",0.695652173913043,4.38583964487606e-18,46,174,157,17,14,32
"RMDQ17_v1","RMDQ14_v1",0.673469387755102,7.87915863197901e-18,49,171,155,16,16,33
"RMDQ21_v1","RMDQ14_v1",0.75,3.09645348653985e-23,48,172,159,13,12,36
"RMDQ1_v1","RMDQ17_v1",0.411764705882353,5.99187808282579e-07,85,134,120,14,50,35
"RMDQ2_v1","RMDQ17_v1",0.411111111111111,1.61969694346102e-07,90,129,117,12,53,37
"RMDQ4_v1","RMDQ17_v1",0.351851851851852,0.00865561410133531,54,166,136,30,35,19
"RMDQ12_v1","RMDQ17_v1",0.75,5.5520928346739e-21,44,176,160,16,11,33
"RMDQ13_v1","RMDQ17_v1",0.739130434782609,2.92919435879067e-21,46,174,159,15,12,34
