"","demonimador","numerador","Frequência","Qtd_1_Denom","Qtd_0_Demon","D0N0","D0N1","D1N0","D1N1"
"1","Dor_costas","Dor_costas","1","128","79","79","0","0","128"
"2","Dor_pernas","Dor_costas","0.84375","64","139","68","71","10","54"
"3","Livrar_costas","Dor_costas","0.918918918918919","111","16","7","9","9","102"
"4","Livrar_perna","Dor_costas","0.571428571428571","14","113","10","103","6","8"
"5","D30","Dor_costas","0.918032786885246","61","67","32","35","5","56"
"6","DN4_1a_v1","Dor_costas","0.686046511627907","86","106","48","58","27","59"
"7","DN4_1b_v1","Dor_costas","0.636363636363636","44","148","59","89","16","28"
"8","DN4_1c_v1","Dor_costas","0.692307692307692","52","142","60","82","16","36"
"9","DN4_2a_v1","Dor_costas","0.695652173913043","46","148","62","86","14","32"
"10","DN4_2b_v1","Dor_costas","0.654545454545455","55","139","57","82","19","36"
"11","DN4_2c_v1","Dor_costas","0.642857142857143","56","136","55","81","20","36"
"12","DN4_2d_v1","Dor_costas","0.625","8","186","73","113","3","5"
"13","DN4_3a_v1","Dor_costas","0.833333333333333","6","188","75","113","1","5"
"14","DN4_3b_v1","Dor_costas","0.571428571428571","7","187","73","114","3","4"
"15","DN4_4_v1","Dor_costas","0.8","5","189","75","114","1","4"
"16","Dor_costas","Dor_pernas","0.432","125","78","68","10","71","54"
"17","Dor_pernas","Dor_pernas","1","65","139","139","0","0","65"
"18","Livrar_costas","Dor_pernas","0.4","110","15","2","13","66","44"
"19","Livrar_perna","Dor_pernas","0.928571428571429","14","111","67","44","1","13"
"20","D30","Dor_pernas","0.655737704918033","61","66","51","15","21","40"
"21","DN4_1a_v1","Dor_pernas","0.458823529411765","85","105","83","22","46","39"
"22","DN4_1b_v1","Dor_pernas","0.302325581395349","43","147","99","48","30","13"
"23","DN4_1c_v1","Dor_pernas","0.547169811320755","53","139","106","33","24","29"
"24","DN4_2a_v1","Dor_pernas","0.51063829787234","47","145","107","38","23","24"
"25","DN4_2b_v1","Dor_pernas","0.5","56","136","102","34","28","28"
"26","DN4_2c_v1","Dor_pernas","0.464285714285714","56","134","99","35","30","26"
"27","DN4_2d_v1","Dor_pernas","0.555555555555556","9","183","126","57","4","5"
"28","DN4_3a_v1","Dor_pernas","0.833333333333333","6","186","129","57","1","5"
"29","DN4_3b_v1","Dor_pernas","0.571428571428571","7","185","127","58","3","4"
"30","DN4_4_v1","Dor_pernas","0.8","5","187","129","58","1","4"
"31","Dor_costas","Livrar_costas","0.918918918918919","111","16","7","9","9","102"
"32","Dor_pernas","Livrar_costas","0.771929824561403","57","68","2","66","13","44"
"33","Livrar_costas","Livrar_costas","1","112","16","16","0","0","112"
"34","Livrar_perna","Livrar_costas","0","14","114","2","112","14","0"
"35","D30","Livrar_costas","0.836065573770492","61","39","4","35","10","51"
"36","DN4_1a_v1","Livrar_costas","0.824561403508772","57","61","5","56","10","47"
"37","DN4_1b_v1","Livrar_costas","0.869565217391304","23","96","13","83","3","20"
"38","DN4_1c_v1","Livrar_costas","0.828571428571429","35","85","10","75","6","29"
"39","DN4_2a_v1","Livrar_costas","0.774193548387097","31","89","9","80","7","24"
"40","DN4_2b_v1","Livrar_costas","0.875","40","80","11","69","5","35"
