"","Binaria","Ordinal","rpb","pvalue","Bin_0","Bin_1","Missing"
"1","Fuma","Há quanto tempo em São Paulo se de outro local","-0.463069363258879","0.0692413613380689","13","12","0"
"2","Fuma","Quantidade de cirurgias na coluna","0.219080652643125","0.12567698152225","94","18","34"
"3","Fuma","Trabalho_Cansativo","-0.0372533745173514","0.744951074343025","84","45","10"
"4","Fuma","Licenca_Tempo","0.304352302063207","0.654342597119442","4","2","0"
"5","Fuma","Tempo com a dor nas costas","-0.189567426515991","0.094165853087332","84","46","12"
"6","Fuma","Tempo com dor que irradia p/ as pernas","-0.189297267626674","0.0946409453077698","84","46","11"
"7","Fuma","Andar_velocidade","0.0905613858737134","0.427247765750458","83","46","6"
"8","Fuma","Dor_costas_VAS","0.101878463489346","0.334803041430533","114","46","21"
"9","Fuma","Intensidade da dor nas pernas","0.275285817799327","0.00621324923903686","135","46","21"
"10","Fuma","IDADE","0.0303389515351804","0.760815323772019","147","46","9"
"11","Fuma","BPI_3_v1","0.157338036250837","0.111060411072653","151","46","39"
"12","Fuma","BPI_4_v1","0.0923312574811744","0.350775524105411","151","46","39"
"13","Fuma","BPI_5_v1","0.122635460043813","0.214827587489562","151","46","39"
"14","Fuma","Intensidade da dor no momento","-0.125797542955501","0.27687234808221","78","46","7"
"15","Fuma","BPI_8_v1","-0.206128206307697","0.078572523247137","106","33","21"
"16","Fuma","BPI - Atividde geral","0.251038229518139","0.0334020566009149","98","34","23"
"17","Fuma","BPI - Humor","0.176343520516621","0.136843653701748","98","34","23"
"18","Fuma","BPI - Habilidade de caminhar","0.0661078624586985","0.578452296441915","98","34","23"
"19","Fuma","BPI - Trabalho","0.11021258438001","0.353750005478609","98","34","23"
"20","Fuma","BPI - Relacionamento com outras pessoas","0.131912616162632","0.266685910406157","98","34","23"
"21","Fuma","BPI - Sono","0.30033627484156","0.0106266601082814","98","34","23"
"22","Fuma","BPI - Habilidade para apreciar a vida","0.185605751883724","0.117228848550147","98","34","23"
"23","Fuma","Oswestry1_v1","0.0329733989628633","0.741884984992452","148","45","39"
"24","Fuma","Oswestry2_v1","0.0296804799223146","0.766879960513116","148","45","39"
"25","Fuma","Oswestry3_v1","-0.0233950739957337","0.815243074439519","148","45","39"
"26","Fuma","Oswestry4_v1","-0.0141178304057316","0.887869159725432","148","45","39"
"27","Fuma","Oswestry5_v1","-0.0163538492380313","0.870255029718621","148","45","39"
"28","Fuma","Oswestry6_v1","0.0323581573127939","0.746535406416596","148","45","39"
"29","Fuma","Oswestry7_v1","0.106431065286907","0.287089560911865","148","45","39"
"30","Fuma","Oswestry8_v1","-0.0842156202858341","0.399866728161116","148","45","39"
"31","Fuma","Oswestry9_v1","-0.00757784450004015","0.939672204674535","148","45","39"
"32","Fuma","Oswestry10_v1","-0.0831929672646481","0.405624796966198","148","45","39"
"33","Fuma","Somatoria_Owestry","-0.00576613053556444","0.954077100756688","148","45","39"
"34","Fuma","Ord_RMDQ","0.386978517368959","0.00511252483576718","97","19","19"
"35","Fuma","SF12_M1_1_v1","-0.0811442932466219","0.417306680872123","148","45","39"
"36","Fuma","SF12_M1_2_v1","-0.0952951817879108","0.340658551181462","148","45","39"
"37","Fuma","SF12_M1_3_v1","-0.00793300160294897","0.936850505370668","148","45","39"
"38","Fuma","SF12_M1_4_v1","-0.0174549518008975","0.861604003752285","148","45","39"
"39","Fuma","SF12_M1_5_v1","-0.0039908852968347","0.968206517348453","148","45","39"
"40","Fuma","SF12_M1_6_v1","-0.0878279840228916","0.379920999754832","148","45","39"
"41","Fuma","SF12_M1_7_v1","-0.113793768135503","0.254948030816317","148","45","39"
"42","Fuma","SF12_M1_8_v1","0.0649995975847712","0.516000861500866","148","45","39"
"43","Fuma","SF12_M1_9_v1","0.035997214745923","0.719167462795974","148","45","39"
"44","Fuma","SF12_M1_10_v1","0.0139461050654631","0.889224305606751","148","45","39"
"45","Fuma","SF12_M1_11_v1","-0.0322903163582125","0.747048759731785","148","45","39"
"46","Fuma","SF12_M1_12_v1","0.0964818984299572","0.334665134045358","148","45","39"
"47","Cirurgia na coluna","Há quanto tempo em São Paulo se de outro local","-0.61313001698415","0.0303805153392877","14","7","4"
"48","Cirurgia na coluna","Quantidade de cirurgias na coluna","0.863549537927935","2.8321779413093e-19","75","55","16"
"49","Cirurgia na coluna","Trabalho_Cansativo","-0.127410225065","0.266124024608207","66","56","17"
"50","Cirurgia na coluna","Licenca_Tempo","-0.9999","0.0951679815279452","1","2","3"
"51","Cirurgia na coluna","Tempo com a dor nas costas","0.0599722393311926","0.595337718167675","68","58","16"
"52","Cirurgia na coluna","Tempo com dor que irradia p/ as pernas","0.116972799688928","0.30343873601624","67","57","17"
"53","Cirurgia na coluna","Andar_velocidade","0.0604613601953598","0.604406265984432","63","55","17"
"54","Cirurgia na coluna","Dor_costas_VAS","-0.0230483886761674","0.816957380647708","97","67","17"
"55","Cirurgia na coluna","Intensidade da dor nas pernas","0.254094569408531","0.00635727270948545","110","74","18"
"56","Cirurgia na coluna","IDADE","0.0293669103146815","0.760108353118222","105","71","26"
"57","Cirurgia na coluna","BPI_3_v1","-0.0156351414823113","0.85991769541727","131","79","26"
"58","Cirurgia na coluna","BPI_4_v1","0.0331859163026207","0.707935991108072","131","79","26"
"59","Cirurgia na coluna","BPI_5_v1","-0.0166483808681267","0.850941995701105","131","79","26"
"60","Cirurgia na coluna","Intensidade da dor no momento","-0.0997827808831436","0.399939288785605","59","55","17"
"61","Cirurgia na coluna","BPI_8_v1","0.0368976051282242","0.735640563180888","87","52","21"
"62","Cirurgia na coluna","BPI - Atividde geral","0.114320829605636","0.303809447301548","84","50","21"
"63","Cirurgia na coluna","BPI - Humor","0.111795834263073","0.314657140294365","84","50","21"
"64","Cirurgia na coluna","BPI - Habilidade de caminhar","0.0898220522257463","0.419486084361925","84","50","21"
"65","Cirurgia na coluna","BPI - Trabalho","0.0742039191448873","0.504979174505654","84","50","21"
"66","Cirurgia na coluna","BPI - Relacionamento com outras pessoas","0.072605070074739","0.514215589910511","84","50","21"
"67","Cirurgia na coluna","BPI - Sono","-0.00976626555392911","0.930138211434628","84","50","21"
"68","Cirurgia na coluna","BPI - Habilidade para apreciar a vida","0.0617683279378176","0.579027564054042","84","50","21"
"69","Cirurgia na coluna","Oswestry1_v1","0.0209492874833678","0.814980783407194","129","77","26"
"70","Cirurgia na coluna","Oswestry2_v1","0.0770812048105803","0.388835112403802","129","77","26"
"71","Cirurgia na coluna","Oswestry3_v1","0.106178534371235","0.234832809208036","129","77","26"
"72","Cirurgia na coluna","Oswestry4_v1","0.063493419740449","0.477940834569237","129","77","26"
"73","Cirurgia na coluna","Oswestry5_v1","0.136686588840347","0.125744857557448","129","77","26"
"74","Cirurgia na coluna","Oswestry6_v1","0.114236550509423","0.20106942354953","129","77","26"
"75","Cirurgia na coluna","Oswestry7_v1","0.0543943936079304","0.543303408565476","129","77","26"
"76","Cirurgia na coluna","Oswestry8_v1","0.01776383050622","0.842716616419055","129","77","26"
"77","Cirurgia na coluna","Oswestry9_v1","0.0499655987199248","0.576641987697972","129","77","26"
"78","Cirurgia na coluna","Oswestry10_v1","-0.0080524403241164","0.928333849004606","129","77","26"
"79","Cirurgia na coluna","Somatoria_Owestry","0.0659554366168211","0.461018628466678","129","77","26"
"80","Cirurgia na coluna","Ord_RMDQ","0.0538527033991296","0.646128769018523","78","44","13"
"81","Cirurgia na coluna","SF12_M1_1_v1","-0.203695499481943","0.0220317345090883","129","77","26"
"82","Cirurgia na coluna","SF12_M1_2_v1","0.0987739803444208","0.269204845903471","129","77","26"
"83","Cirurgia na coluna","SF12_M1_3_v1","0.0680034763840477","0.447198912106526","129","77","26"
"84","Cirurgia na coluna","SF12_M1_4_v1","0.127859518511015","0.152228196314139","129","77","26"
"85","Cirurgia na coluna","SF12_M1_5_v1","0.0685684705489707","0.44342802924582","129","77","26"
"86","Cirurgia na coluna","SF12_M1_6_v1","0.0904519434739812","0.311748938566304","129","77","26"
"87","Cirurgia na coluna","SF12_M1_7_v1","0.0952148914659129","0.286889526950385","129","77","26"
"88","Cirurgia na coluna","SF12_M1_8_v1","-0.0198755593150744","0.824305886668443","129","77","26"
"89","Cirurgia na coluna","SF12_M1_9_v1","0.0171250162115421","0.848303344485553","129","77","26"
"90","Cirurgia na coluna","SF12_M1_10_v1","0.00259250130920281","0.976899243143059","129","77","26"
"91","Cirurgia na coluna","SF12_M1_11_v1","0.0337975617010135","0.705755624631023","129","77","26"
"92","Cirurgia na coluna","SF12_M1_12_v1","0.0326303538595863","0.715470529529357","129","77","26"
"93","Aposentado","Há quanto tempo em São Paulo se de outro local","0.131688154007092","0.625397159932923","16","9","0"
"94","Aposentado","Quantidade de cirurgias na coluna","0.191117236578527","0.181783229369931","102","17","27"
"95","Aposentado","Trabalho_Cansativo","-0.505101728054782","7.78807622124467e-06","105","34","0"
"96","Aposentado","Licenca_Tempo","-0.500007353389554","0.450188428352724","4","2","0"
"97","Aposentado","Tempo com a dor nas costas","0.0100163149904319","0.932160280518367","103","34","5"
"98","Aposentado","Tempo com dor que irradia p/ as pernas","-0.109308172896149","0.356094912531367","103","33","5"
"99","Aposentado","Andar_velocidade","-0.214881234857641","0.0732927028358991","103","31","1"
"100","Aposentado","Dor_costas_VAS","0.121355022425877","0.269265420302221","133","35","13"
"101","Aposentado","Intensidade da dor nas pernas","0.092038785242803","0.383840185766053","153","36","13"
"102","Aposentado","IDADE","0.5859499925336","1.57544115502172e-08","155","33","14"
"103","Aposentado","BPI_3_v1","0.00222242620416838","0.982893591827515","162","37","37"
"104","Aposentado","BPI_4_v1","-0.0572175203446417","0.580789015307137","162","37","37"
"105","Aposentado","BPI_5_v1","0.00516459107999291","0.960260523470284","162","37","37"
"106","Aposentado","Intensidade da dor no momento","-0.021667004847569","0.859160837253073","98","31","2"
"107","Aposentado","BPI_8_v1","-0.21283575194427","0.0943908176960888","116","23","21"
"108","Aposentado","BPI - Atividde geral","0.0314736459241226","0.80627125417245","108","24","23"
"109","Aposentado","BPI - Humor","-0.0317234517607508","0.804764217358409","108","24","23"
"110","Aposentado","BPI - Habilidade de caminhar","-0.00824996035194439","0.9487506042823","108","24","23"
"111","Aposentado","BPI - Trabalho","0.0749794013873621","0.55885104081773","108","24","23"
"112","Aposentado","BPI - Relacionamento com outras pessoas","-0.0758721430731036","0.554173236710748","108","24","23"
"113","Aposentado","BPI - Sono","0.115985102491589","0.365429175342302","108","24","23"
"114","Aposentado","BPI - Habilidade para apreciar a vida","0.11956975795391","0.350751075400994","108","24","23"
"115","Aposentado","Oswestry1_v1","-0.00219633784076124","0.983406032275105","160","35","37"
"116","Aposentado","Oswestry2_v1","0.111539027490766","0.290150573844752","160","35","37"
"117","Aposentado","Oswestry3_v1","-0.0704223720756232","0.50459738565448","160","35","37"
"118","Aposentado","Oswestry4_v1","0.0106941249431086","0.91933384723072","160","35","37"
"119","Aposentado","Oswestry5_v1","-0.0956833862059094","0.364367644673039","160","35","37"
"120","Aposentado","Oswestry6_v1","-0.0742276689956241","0.48182198348826","160","35","37"
"121","Aposentado","Oswestry7_v1","0.0164423488871353","0.87626072752355","160","35","37"
"122","Aposentado","Oswestry8_v1","-0.081900037034114","0.437638902279219","160","35","37"
"123","Aposentado","Oswestry9_v1","-0.0971216165768994","0.357187099342187","160","35","37"
"124","Aposentado","Oswestry10_v1","-0.0458230013373927","0.664257817159756","160","35","37"
"125","Aposentado","Somatoria_Owestry","-0.0354672850823945","0.736932445484554","160","35","37"
"126","Aposentado","Ord_RMDQ","-0.0619516645811982","0.632898636549626","89","27","19"
"127","Aposentado","SF12_M1_1_v1","0.0655282145797794","0.534697179343894","160","35","37"
"128","Aposentado","SF12_M1_2_v1","-0.069652676110546","0.509271676677705","160","35","37"
"129","Aposentado","SF12_M1_3_v1","-0.10625455219135","0.313675456064942","160","35","37"
"130","Aposentado","SF12_M1_4_v1","-0.128083472579695","0.22426823666936","160","35","37"
"131","Aposentado","SF12_M1_5_v1","-0.117132501240728","0.266566617720411","160","35","37"
"132","Aposentado","SF12_M1_6_v1","-0.0725730687326302","0.491656331482238","160","35","37"
"133","Aposentado","SF12_M1_7_v1","-0.150984391475208","0.151681891421392","160","35","37"
"134","Aposentado","SF12_M1_8_v1","0.081751662286084","0.438470807393294","160","35","37"
"135","Aposentado","SF12_M1_9_v1","-0.0596064265346366","0.572280214408478","160","35","37"
"136","Aposentado","SF12_M1_10_v1","-0.0217116488981285","0.837090190635331","160","35","37"
"137","Aposentado","SF12_M1_11_v1","-0.0912804956811715","0.386900726807965","160","35","37"
"138","Aposentado","SF12_M1_12_v1","-0.0669158589091684","0.526072553119017","160","35","37"
"139","Desempregado","Há quanto tempo em São Paulo se de outro local","-0.219511225305394","0.452053545766418","18","6","1"
"140","Desempregado","Quantidade de cirurgias na coluna","0.24589518694582","0.0817446300819866","99","18","29"
"141","Desempregado","Trabalho_Cansativo","-0.383928223216064","0.00129535845028775","108","29","2"
"142","Desempregado","Licenca_Tempo","0.608704604126414","0.347494923643842","2","4","0"
"143","Desempregado","Tempo com a dor nas costas","0.168780340750796","0.169786244877439","106","28","8"
"144","Desempregado","Tempo com dor que irradia p/ as pernas","-0.0911850095973537","0.463998387221935","106","27","8"
"145","Desempregado","Andar_velocidade","-0.122762559231319","0.324832002490971","105","27","3"
"146","Desempregado","Dor_costas_VAS","0.33508141402358","0.00356827331265948","137","28","16"
"147","Desempregado","Intensidade da dor nas pernas","0.0978301618203458","0.377650536776447","156","30","16"
"148","Desempregado","IDADE","0.0464266122402861","0.687089074285612","159","26","17"
"149","Desempregado","BPI_3_v1","0.0547647687261911","0.616962239018384","166","30","40"
"150","Desempregado","BPI_4_v1","0.0661505918796811","0.545687152557656","166","30","40"
"151","Desempregado","BPI_5_v1","0.0282589921234608","0.796387720794385","166","30","40"
"152","Desempregado","Intensidade da dor no momento","0.177855636994445","0.163802977041074","103","25","3"
"153","Desempregado","BPI_8_v1","0.035238270788469","0.781503865788836","113","24","23"
"154","Desempregado","BPI - Atividde geral","-0.116850894093075","0.374840269972729","107","22","26"
"155","Desempregado","BPI - Humor","-0.171315081838054","0.192430149140378","107","22","26"
"156","Desempregado","BPI - Habilidade de caminhar","0.0508195159039277","0.699889171911911","107","22","26"
"157","Desempregado","BPI - Trabalho","-0.0309456376133754","0.814455769171505","107","22","26"
"158","Desempregado","BPI - Relacionamento com outras pessoas","-0.123829243303465","0.346898524486525","107","22","26"
"159","Desempregado","BPI - Sono","-0.00823441914361553","0.950211758268456","107","22","26"
"160","Desempregado","BPI - Habilidade para apreciar a vida","-0.134863771375634","0.305468661552796","107","22","26"
"161","Desempregado","Oswestry1_v1","0.0275721562595682","0.80415669579416","162","29","41"
"162","Desempregado","Oswestry2_v1","0.0432661788855184","0.69715601556919","162","29","41"
"163","Desempregado","Oswestry3_v1","0.0140998950064346","0.89909847439028","162","29","41"
"164","Desempregado","Oswestry4_v1","0.000574308962257039","0.99587922589722","162","29","41"
"165","Desempregado","Oswestry5_v1","-0.0166892807633245","0.880695269527279","162","29","41"
"166","Desempregado","Oswestry6_v1","0.062349308598581","0.574845851666121","162","29","41"
"167","Desempregado","Oswestry7_v1","-0.00606806718032048","0.956481719367405","162","29","41"
"168","Desempregado","Oswestry8_v1","-0.0704442822010519","0.526192265861096","162","29","41"
"169","Desempregado","Oswestry9_v1","-0.0220508590857905","0.842803018213036","162","29","41"
"170","Desempregado","Oswestry10_v1","-0.0099335800772756","0.928818323959157","162","29","41"
"171","Desempregado","Somatoria_Owestry","0.00191963851798484","0.986226852884816","162","29","41"
"172","Desempregado","Ord_RMDQ","-0.00889438959534385","0.949793490784936","95","19","21"
"173","Desempregado","SF12_M1_1_v1","0.0372121954213588","0.737857683711874","162","29","41"
