,demonimador,numerador,Frequência,Qtd_1_Denom,Qtd_0_Demon,D0N0,D0N1,D1N0,D1N1
1,Analgésicos,Fuma,0.25203252,123,63,49,14,92,31
2,Analgésicos,Cirurgia_coluna,0.385185185,135,63,39,24,83,52
3,Analgésicos,Aposentado,0.181102362,127,66,54,12,104,23
4,Analgésicos,Desempregado,0.144,125,64,54,10,107,18
5,Analgésicos,Licenca_Medica,0.088,125,66,58,8,114,11
6,Analgésicos,Aposentado_Invalidez,0.055555556,126,64,63,1,119,7
7,Analgésicos,Analgésicos,1,147,68,68,0,0,147
8,Analgésicos,OutraDoenca,0.401515152,132,67,45,22,79,53
9,Analgésicos,Dor_costas,0.727941176,136,64,41,23,37,99
10,Analgésicos,Dor_pernas,0.402985075,134,64,54,10,80,54
11,Analgésicos,Retornar_trabalho,0.135338346,133,59,56,3,115,18
12,Analgésicos,Masc,0.693877551,147,68,27,41,45,102
13,Analgésicos,Fem,0.306122449,147,68,41,27,102,45
14,Analgésicos,Casado_Amasiado,0.459016393,122,65,40,25,66,56
15,Analgésicos,Solteiro,0.393442623,122,65,33,32,74,48
16,Analgésicos,Separado_Divorciado,0.049180328,122,65,63,2,116,6
17,Analgésicos,X4,0.016393443,122,65,64,1,120,2
18,Analgésicos,X5,0.008196721,122,65,62,3,121,1
19,Analgésicos,X6,0.073770492,122,65,63,2,113,9
20,Analgésicos,Livrar_costas,0.886597938,97,26,4,22,11,86
21,Analgésicos,Livrar_perna,0.113402062,97,26,23,3,86,11
22,Analgésicos,Livrar_perda_sens,0,97,26,25,1,97,0
23,Analgésicos,X1,0.011363636,88,42,42,0,87,1
24,Analgésicos,X15,0.034090909,88,42,38,4,85,3
25,Analgésicos,X16,0.204545455,88,42,40,2,70,18
26,Analgésicos,X17,0.045454545,88,42,41,1,84,4
27,Analgésicos,X18,0.147727273,88,42,40,2,75,13
28,Analgésicos,X19,0.056818182,88,42,41,1,83,5
29,Analgésicos,X2,0.079545455,88,42,41,1,81,7
30,Analgésicos,X20,0.068181818,88,42,41,1,82,6
31,Analgésicos,X21,0.068181818,88,42,41,1,82,6
32,Analgésicos,X22,0.011363636,88,42,42,0,87,1
33,Analgésicos,X23,0.022727273,88,42,42,0,86,2
34,Analgésicos,X24,0.193181818,88,42,33,9,71,17
35,Analgésicos,X25,0.034090909,88,42,41,1,85,3
