,demonimador,numerador,Frequência,Qtd_1_Denom,Qtd_0_Demon,D0N0,D0N1,D1N0,D1N1
1,Fuma,Fuma,1,46,154,154,0,0,46
2,Cirurgia_coluna,Fuma,0.314285714,70,108,96,12,48,22
3,Aposentado,Fuma,0.323529412,34,155,121,34,23,11
4,Desempregado,Fuma,0.392857143,28,157,123,34,17,11
5,Licenca_Medica,Fuma,0.5,18,169,133,36,9,9
6,Aposentado_Invalidez,Fuma,0.625,8,174,135,39,3,5
7,Analgésicos,Fuma,0.25203252,123,63,49,14,92,31
8,OutraDoenca,Fuma,0.188405797,69,119,87,32,56,13
9,Dor_costas,Fuma,0.28440367,109,75,60,15,78,31
10,Dor_pernas,Fuma,0.344262295,61,122,97,25,40,21
11,Retornar_trabalho,Fuma,0.4,20,146,110,36,12,8
12,Masc,Fuma,0.222222222,135,65,49,16,105,30
13,Fem,Fuma,0.246153846,65,135,105,30,49,16
14,Casado_Amasiado,Fuma,0.142857143,84,109,75,34,72,12
15,Solteiro,Fuma,0.289156627,83,110,88,22,59,24
16,Separado_Divorciado,Fuma,0.125,8,185,140,45,7,1
17,X4,Fuma,1,3,190,147,43,0,3
18,X5,Fuma,0.25,4,189,144,45,3,1
19,X6,Fuma,0.454545455,11,182,141,41,6,5
20,Livrar_costas,Fuma,0.278350515,97,15,9,6,70,27
21,Livrar_perna,Fuma,0.428571429,14,98,71,27,8,6
22,Livrar_perda_sens,Fuma,0,1,111,78,33,1,0
23,D1,Fuma,0,1,127,81,46,1,0
24,D15,Fuma,1,5,123,82,41,0,5
25,D16,Fuma,0.421052632,19,109,71,38,11,8
26,D17,Fuma,0.75,4,124,81,43,1,3
27,D18,Fuma,0.642857143,14,114,77,37,5,9
28,D19,Fuma,0.571428571,7,121,79,42,3,4
29,D2,Fuma,1,8,120,82,38,0,8
30,D20,Fuma,0.375,8,120,77,43,5,3
31,D21,Fuma,0.285714286,7,121,77,44,5,2
32,D22,Fuma,0.5,2,126,81,45,1,1
33,D23,Fuma,0,1,127,81,46,1,0
34,D24,Fuma,0.333333333,24,104,66,38,16,8
35,D25,Fuma,0.333333333,3,125,80,45,2,1
36,D26,Fuma,0,2,126,80,46,2,0
37,D27,Fuma,0.75,4,124,81,43,1,3
38,D28,Fuma,0.6,5,123,80,43,2,3
39,D29,Fuma,0.325,40,88,55,33,27,13
40,D3,Fuma,1,2,126,82,44,0,2
41,D30,Fuma,0.288135593,59,69,40,29,42,17
42,D31,Fuma,0.5,16,112,74,38,8,8
43,D32,Fuma,0.305555556,36,92,57,35,25,11
44,D33,Fuma,0.363636364,11,117,75,42,7,4
45,D34,Fuma,1,3,125,82,43,0,3
46,D35,Fuma,1,2,126,82,44,0,2
47,D36,Fuma,0.666666667,6,122,80,42,2,4
48,D37,Fuma,0.4,20,108,70,38,12,8
49,D38,Fuma,1,3,125,82,43,0,3
50,D39,Fuma,0.333333333,15,113,72,41,10,5
51,D4,Fuma,1,4,124,82,42,0,4
52,D40,Fuma,1,4,124,82,42,0,4
53,D41,Fuma,0.6,5,123,80,43,2,3
54,D42,Fuma,0.333333333,3,125,80,45,2,1
55,D43,Fuma,0.666666667,3,125,81,44,1,2
56,D44,Fuma,0.297297297,37,91,56,35,26,11
57,D45,Fuma,0.545454545,11,117,77,40,5,6
58,D46,Fuma,0.297297297,37,91,56,35,26,11
59,D47,Fuma,0.583333333,12,116,77,39,5,7
60,D48,Fuma,0.2,25,103,62,41,20,5
61,D49,Fuma,0.307692308,13,115,73,42,9,4
62,D5,Fuma,1,3,125,82,43,0,3
63,D50,Fuma,1,2,126,82,44,0,2
64,D51,Fuma,1,1,127,82,45,0,1
65,D52,Fuma,0.5,2,126,81,45,1,1
66,D53,Fuma,1,2,126,82,44,0,2
67,D9,Fuma,1,1,127,82,45,0,1
68,Fuma,Cirurgia_coluna,0.647058824,34,144,96,48,12,22
69,Cirurgia_coluna,Cirurgia_coluna,1,79,134,134,0,0,79
70,Aposentado,Cirurgia_coluna,0.606060606,33,151,99,52,13,20
71,Desempregado,Cirurgia_coluna,0.625,24,156,99,57,9,15
72,Licenca_Medica,Cirurgia_coluna,0.769230769,13,169,107,62,3,10
73,Aposentado_Invalidez,Cirurgia_coluna,0.4,5,176,107,69,3,2
74,Analgésicos,Cirurgia_coluna,0.385185185,135,63,39,24,83,52
75,OutraDoenca,Cirurgia_coluna,0.383561644,73,116,69,47,45,28
76,Dor_costas,Cirurgia_coluna,0.417391304,115,75,48,27,67,48
77,Dor_pernas,Cirurgia_coluna,0.555555556,54,132,89,43,24,30
78,Retornar_trabalho,Cirurgia_coluna,0.5,16,169,110,59,8,8
79,Masc,Cirurgia_coluna,0.397163121,141,72,49,23,85,56
80,Fem,Cirurgia_coluna,0.319444444,72,141,85,56,49,23
81,Casado_Amasiado,Cirurgia_coluna,0.353658537,82,96,53,43,53,29
82,Solteiro,Cirurgia_coluna,0.424657534,73,105,64,41,42,31
83,Separado_Divorciado,Cirurgia_coluna,0.375,8,170,101,69,5,3
84,X4,Cirurgia_coluna,0,1,177,105,72,1,0
85,X5,Cirurgia_coluna,0.5,4,174,104,70,2,2
86,X6,Cirurgia_coluna,0.7,10,168,103,65,3,7
87,Livrar_costas,Cirurgia_coluna,0.43877551,98,15,8,7,55,43
88,Livrar_perna,Cirurgia_coluna,0.461538462,13,100,56,44,7,6
89,Livrar_perda_sens,Cirurgia_coluna,0.5,2,111,62,49,1,1
90,D1,Cirurgia_coluna,0,1,117,62,55,1,0
91,D15,Cirurgia_coluna,1,5,113,63,50,0,5
92,D16,Cirurgia_coluna,0.470588235,17,101,54,47,9,8
93,D17,Cirurgia_coluna,0.666666667,3,115,62,53,1,2
94,D18,Cirurgia_coluna,0.583333333,12,106,58,48,5,7
95,D19,Cirurgia_coluna,0,4,114,59,55,4,0
96,D2,Cirurgia_coluna,0.6,5,113,61,52,2,3
