;demonimador;numerador;FrequÃªncia;Qtd_1_Denom;Qtd_0_Demon;D0N0;D0N1;D1N0;D1N1
1;Analgésicos;Fuma;0.252032520325203;123;63;49;14;92;31
2;Analgésicos;Cirurgia_coluna;0.385185185185185;135;63;39;24;83;52
3;Analgésicos;Aposentado;0.181102362204724;127;66;54;12;104;23
4;Analgésicos;Desempregado;0.144;125;64;54;10;107;18
5;Analgésicos;Licenca_Medica;0.088;125;66;58;8;114;11
6;Analgésicos;Aposentado_Invalidez;0.0555555555555556;126;64;63;1;119;7
7;Analgésicos;Analgésicos;1;147;68;68;0;0;147
8;Analgésicos;OutraDoenca;0.401515151515151;132;67;45;22;79;53
9;Analgésicos;Dor_costas;0.727941176470588;136;64;41;23;37;99
10;Analgésicos;Dor_pernas;0.402985074626866;134;64;54;10;80;54
11;Analgésicos;Retornar_trabalho;0.135338345864662;133;59;56;3;115;18
12;Analgésicos;Masc;0.693877551020408;147;68;27;41;45;102
13;Analgésicos;Fem;0.306122448979592;147;68;41;27;102;45
14;Analgésicos;Casado_Amasiado;0.459016393442623;122;65;40;25;66;56
15;Analgésicos;Solteiro;0.39344262295082;122;65;33;32;74;48
16;Analgésicos;Separado_Divorciado;0.0491803278688525;122;65;63;2;116;6
17;Analgésicos;X4;0.0163934426229508;122;65;64;1;120;2
18;Analgésicos;X5;0.00819672131147541;122;65;62;3;121;1
19;Analgésicos;X6;0.0737704918032787;122;65;63;2;113;9
20;Analgésicos;Livrar_costas;0.88659793814433;97;26;4;22;11;86
21;Analgésicos;Livrar_perna;0.11340206185567;97;26;23;3;86;11
22;Analgésicos;Livrar_perda_sens;0;97;26;25;1;97;0
23;Analgésicos;D1;0.0113636363636364;88;42;42;0;87;1
24;Analgésicos;D15;0.0340909090909091;88;42;38;4;85;3
25;Analgésicos;D16;0.204545454545455;88;42;40;2;70;18
26;Analgésicos;D17;0.0454545454545455;88;42;41;1;84;4
27;Analgésicos;D18;0.147727272727273;88;42;40;2;75;13
28;Analgésicos;D19;0.0568181818181818;88;42;41;1;83;5
29;Analgésicos;D2;0.0795454545454545;88;42;41;1;81;7
30;Analgésicos;D20;0.0681818181818182;88;42;41;1;82;6
31;Analgésicos;D21;0.0681818181818182;88;42;41;1;82;6
32;Analgésicos;D22;0.0113636363636364;88;42;42;0;87;1
33;Analgésicos;D23;0.0227272727272727;88;42;42;0;86;2
34;Analgésicos;D24;0.193181818181818;88;42;33;9;71;17
35;Analgésicos;D25;0.0340909090909091;88;42;41;1;85;3
36;Analgésicos;D26;0.0227272727272727;88;42;42;0;86;2
37;Analgésicos;D27;0.0454545454545455;88;42;41;1;84;4
38;Analgésicos;D28;0.0454545454545455;88;42;40;2;84;4
39;Analgésicos;D29;0.397727272727273;88;42;35;7;53;35
40;Analgésicos;D3;0.0227272727272727;88;42;42;0;86;2
41;Analgésicos;D30;0.602272727272727;88;42;33;9;35;53
42;Analgésicos;D31;0.102272727272727;88;42;34;8;79;9
43;Analgésicos;D32;0.375;88;42;38;4;55;33
44;Analgésicos;D33;0.0909090909090909;88;42;38;4;80;8
45;Analgésicos;D34;0.0227272727272727;88;42;41;1;86;2
46;Analgésicos;D35;0.0227272727272727;88;42;42;0;86;2
47;Analgésicos;D36;0.0340909090909091;88;42;37;5;85;3
48;Analgésicos;D37;0.204545454545455;88;42;38;4;70;18
49;Analgésicos;D38;0.0113636363636364;88;42;40;2;87;1
50;Analgésicos;D39;0.159090909090909;88;42;41;1;74;14
51;Analgésicos;D4;0.0454545454545455;88;42;42;0;84;4
52;Analgésicos;D40;0.0227272727272727;88;42;39;3;86;2
