,Binaria,Ordinal,rpb
1,Analg.e9.sicos,Se_SP_haquantosanos,0.333579672
2,Analg.e9.sicos,QtCirColuna,0.248048683
3,Analg.e9.sicos,Trabalho_Cansativo,0.038979739
4,Analg.e9.sicos,Licenca_Tempo,-0.195655051
5,Analg.e9.sicos,Tempo_dor_costas,0.633733198
6,Analg.e9.sicos,Tempo_dor_pernas,0.429791309
7,Analg.e9.sicos,Andar_velocidade,-0.4849654
8,Analg.e9.sicos,Dor_costas_VAS,0.571458484
9,Analg.e9.sicos,Dor_pernas_VAS,0.330692277
10,Analg.e9.sicos,IDADE,0.015952593
11,Analg.e9.sicos,BPI_3_v1,0.226977279
12,Analg.e9.sicos,BPI_4_v1,0.182608027
13,Analg.e9.sicos,BPI_5_v1,0.231807663
14,Analg.e9.sicos,BPI_6_v1,0.525358816
15,Analg.e9.sicos,BPI_8_v1,0.009132514
16,Analg.e9.sicos,BPI_9a_v1,0.171246325
17,Analg.e9.sicos,BPI_9b_v1,0.191253899
18,Analg.e9.sicos,BPI_9c_v1,0.119196306
19,Analg.e9.sicos,BPI_9d_v1,0.191385569
20,Analg.e9.sicos,BPI_9e_v1,0.199562097
21,Analg.e9.sicos,BPI_9f_v1,0.140074261
22,Analg.e9.sicos,BPI_9g_v1,0.198742023
23,Aposentado,Se_SP_haquantosanos,0.131688154
24,Aposentado,QtCirColuna,0.191117237
25,Aposentado,Trabalho_Cansativo,-0.505101728
26,Aposentado,Licenca_Tempo,-0.500007353
27,Aposentado,Tempo_dor_costas,0.010016315
28,Aposentado,Tempo_dor_pernas,-0.109308173
29,Aposentado,Andar_velocidade,-0.214881235
30,Aposentado,Dor_costas_VAS,0.121355022
31,Aposentado,Dor_pernas_VAS,0.092038785
32,Aposentado,IDADE,0.585949993
33,Aposentado,BPI_3_v1,0.002222426
34,Aposentado,BPI_4_v1,-0.05721752
35,Aposentado,BPI_5_v1,0.005164591
36,Aposentado,BPI_6_v1,-0.021667005
37,Aposentado,BPI_8_v1,-0.212835752
38,Aposentado,BPI_9a_v1,0.008913511
39,Aposentado,BPI_9b_v1,-0.029408572
40,Aposentado,BPI_9c_v1,-0.014936116
41,Aposentado,BPI_9d_v1,0.038314947
42,Aposentado,BPI_9e_v1,-0.056716389
43,Aposentado,BPI_9f_v1,0.066151882
44,Aposentado,BPI_9g_v1,0.069228995
45,Aposentado_Invalidez,Se_SP_haquantosanos,NA
46,Aposentado_Invalidez,QtCirColuna,0.668878111
47,Aposentado_Invalidez,Trabalho_Cansativo,-0.100674936
48,Aposentado_Invalidez,Licenca_Tempo,0.9999
49,Aposentado_Invalidez,Tempo_dor_costas,0.188155177
50,Aposentado_Invalidez,Tempo_dor_pernas,0.197177631
51,Aposentado_Invalidez,Andar_velocidade,-0.408420075
52,Aposentado_Invalidez,Dor_costas_VAS,0.142550183
53,Aposentado_Invalidez,Dor_pernas_VAS,0.663110193
54,Aposentado_Invalidez,IDADE,0.017985775
55,Aposentado_Invalidez,BPI_3_v1,0.299367553
56,Aposentado_Invalidez,BPI_4_v1,0.176660162
57,Aposentado_Invalidez,BPI_5_v1,0.269372322
58,Aposentado_Invalidez,BPI_6_v1,0.087008984
59,Aposentado_Invalidez,BPI_8_v1,0.06746481
60,Aposentado_Invalidez,BPI_9a_v1,0.26554704
61,Aposentado_Invalidez,BPI_9b_v1,0.170179748
62,Aposentado_Invalidez,BPI_9c_v1,0.363343673
63,Aposentado_Invalidez,BPI_9d_v1,0.298199231
64,Aposentado_Invalidez,BPI_9e_v1,0.215412138
65,Aposentado_Invalidez,BPI_9f_v1,0.276872815
66,Aposentado_Invalidez,BPI_9g_v1,0.189504678
