"","cbind.names.phimatrix...phimatrix.X30."
"1","Fuma"
"2","Cirurgia_coluna"
"3","Aposentado"
"4","Desempregado"
"5","Licenca_Medica"
"6","Aposentado_Invalidez"
"7","Analgésicos"
"8","OutraDoenca"
"9","Dor_costas"
"10","Dor_pernas"
"11","Retornar_trabalho"
"12","Masc"
"13","Fem"
"14","Casado_Amasiado"
"15","Solteiro"
"16","Separado_Divorciado"
"17","X4"
"18","X5"
"19","X6"
"20","Livrar_costas"
"21","Livrar_perna"
"22","Livrar_perda_sens"
"23","D1"
"24","D15"
"25","D16"
"26","D17"
"27","D18"
"28","D19"
"29","D2"
"30","D20"
"31","D21"
"32","D22"
"33","D23"
"34","D24"
"35","D25"
"36","D26"
"37","D27"
"38","D28"
"39","D29"
"40","D3"
"41","D30"
"42","D31"
"43","D32"
"44","D33"
"45","D34"
"46","D35"
"47","D36"
"48","D37"
"49","D38"
"50","D39"
"51","D4"
"52","D40"
"53","D41"
"54","D42"
"55","D43"
"56","D44"
"57","D45"
"58","D46"
"59","D47"
"60","D48"
"61","D49"
"62","D5"
"63","D50"
"64","D51"
"65","D52"
"66","D53"
"67","D9"
