"","Binaria","Ordinal","rpb"
"1","Fuma","Se_SP_haquantosanos","-0.463069363258879"
"2","Fuma","QtCirColuna","0.219080652643125"
"3","Fuma","Trabalho_Cansativo","-0.0372533745173514"
"4","Fuma","Licenca_Tempo","0.304352302063207"
"5","Fuma","Tempo_dor_costas","-0.189567426515991"
"6","Fuma","Tempo_dor_pernas","-0.189297267626674"
"7","Fuma","Andar_velocidade","0.0905613858737134"
"8","Fuma","Dor_costas_VAS","0.101878463489346"
"9","Fuma","Dor_pernas_VAS","0.275285817799327"
"10","Fuma","IDADE","0.0303389515351804"
"11","Fuma","BPI_3_v1","0.157338036250837"
"12","Fuma","BPI_4_v1","0.0923312574811744"
"13","Fuma","BPI_5_v1","0.122635460043813"
"14","Fuma","BPI_6_v1","-0.125797542955501"
"15","Fuma","BPI_8_v1","-0.206128206307697"
"16","Fuma","BPI_9a_v1","0.241653404676302"
"17","Fuma","BPI_9b_v1","0.19311165248991"
"18","Fuma","BPI_9c_v1","0.119557544726152"
"19","Fuma","BPI_9d_v1","0.148159406179868"
"20","Fuma","BPI_9e_v1","0.163879984344506"
"21","Fuma","BPI_9f_v1","0.280499646380353"
"22","Fuma","BPI_9g_v1","0.200008219675391"
"23","Cirurgia_coluna","Se_SP_haquantosanos","-0.61313001698415"
"24","Cirurgia_coluna","QtCirColuna","0.863549537927935"
"25","Cirurgia_coluna","Trabalho_Cansativo","-0.127410225065"
"26","Cirurgia_coluna","Licenca_Tempo","-0.9999"
"27","Cirurgia_coluna","Tempo_dor_costas","0.0599722393311926"
"28","Cirurgia_coluna","Tempo_dor_pernas","0.116972799688928"
"29","Cirurgia_coluna","Andar_velocidade","0.0604613601953598"
"30","Cirurgia_coluna","Dor_costas_VAS","-0.0230483886761674"
"31","Cirurgia_coluna","Dor_pernas_VAS","0.254094569408531"
"32","Cirurgia_coluna","IDADE","0.0293669103146815"
"33","Cirurgia_coluna","BPI_3_v1","-0.0156351414823113"
"34","Cirurgia_coluna","BPI_4_v1","0.0331859163026207"
"35","Cirurgia_coluna","BPI_5_v1","-0.0166483808681267"
"36","Cirurgia_coluna","BPI_6_v1","-0.0997827808831436"
"37","Cirurgia_coluna","BPI_8_v1","0.0368976051282242"
"38","Cirurgia_coluna","BPI_9a_v1","0.0555461904249555"
"39","Cirurgia_coluna","BPI_9b_v1","0.0526025521635684"
"40","Cirurgia_coluna","BPI_9c_v1","0.0413062894236808"
"41","Cirurgia_coluna","BPI_9d_v1","0.033119725250751"
"42","Cirurgia_coluna","BPI_9e_v1","0.0300050494379477"
"43","Cirurgia_coluna","BPI_9f_v1","-0.0180865356226938"
"44","Cirurgia_coluna","BPI_9g_v1","0.0268404101551423"
"45","Aposentado","Se_SP_haquantosanos","0.131688154007092"
"46","Aposentado","QtCirColuna","0.191117236578527"
"47","Aposentado","Trabalho_Cansativo","-0.505101728054782"
"48","Aposentado","Licenca_Tempo","-0.500007353389554"
"49","Aposentado","Tempo_dor_costas","0.0100163149904319"
"50","Aposentado","Tempo_dor_pernas","-0.109308172896149"
"51","Aposentado","Andar_velocidade","-0.214881234857641"
"52","Aposentado","Dor_costas_VAS","0.121355022425877"
"53","Aposentado","Dor_pernas_VAS","0.092038785242803"
"54","Aposentado","IDADE","0.5859499925336"
"55","Aposentado","BPI_3_v1","0.00222242620416838"
"56","Aposentado","BPI_4_v1","-0.0572175203446417"
"57","Aposentado","BPI_5_v1","0.00516459107999291"
"58","Aposentado","BPI_6_v1","-0.021667004847569"
"59","Aposentado","BPI_8_v1","-0.21283575194427"
"60","Aposentado","BPI_9a_v1","0.00891351053792376"
"61","Aposentado","BPI_9b_v1","-0.0294085721866217"
"62","Aposentado","BPI_9c_v1","-0.0149361163989421"
"63","Aposentado","BPI_9d_v1","0.0383149474771877"
"64","Aposentado","BPI_9e_v1","-0.0567163893499877"
"65","Aposentado","BPI_9f_v1","0.0661518817839909"
"66","Aposentado","BPI_9g_v1","0.0692289954040315"
"67","Desempregado","Se_SP_haquantosanos","-0.219511225305394"
"68","Desempregado","QtCirColuna","0.24589518694582"
"69","Desempregado","Trabalho_Cansativo","-0.383928223216064"
"70","Desempregado","Licenca_Tempo","0.608704604126414"
"71","Desempregado","Tempo_dor_costas","0.168780340750796"
"72","Desempregado","Tempo_dor_pernas","-0.0911850095973537"
"73","Desempregado","Andar_velocidade","-0.122762559231319"
"74","Desempregado","Dor_costas_VAS","0.33508141402358"
"75","Desempregado","Dor_pernas_VAS","0.0978301618203458"
"76","Desempregado","IDADE","0.0464266122402861"
"77","Desempregado","BPI_3_v1","0.0547647687261911"
"78","Desempregado","BPI_4_v1","0.0661505918796811"
"79","Desempregado","BPI_5_v1","0.0282589921234608"
"80","Desempregado","BPI_6_v1","0.177855636994445"
"81","Desempregado","BPI_8_v1","0.035238270788469"
"82","Desempregado","BPI_9a_v1","-0.0179365861919293"
"83","Desempregado","BPI_9b_v1","-0.0534783137165518"
"84","Desempregado","BPI_9c_v1","0.0891434448424727"
"85","Desempregado","BPI_9d_v1","0.0323206501915181"
"86","Desempregado","BPI_9e_v1","-0.0250891733575692"
"87","Desempregado","BPI_9f_v1","0.0460141142836209"
"88","Desempregado","BPI_9g_v1","-0.0427948548280793"
"89","Licenca_Medica","Se_SP_haquantosanos","-0.372251416100619"
"90","Licenca_Medica","QtCirColuna","0.228458172409143"
"91","Licenca_Medica","Trabalho_Cansativo","-0.312595800560899"
"92","Licenca_Medica","Licenca_Tempo","0.648552343618681"
"93","Licenca_Medica","Tempo_dor_costas","-0.0769163241291371"
"94","Licenca_Medica","Tempo_dor_pernas","0.123979183699482"
"95","Licenca_Medica","Andar_velocidade","-0.0462643070984944"
"96","Licenca_Medica","Dor_costas_VAS","0.181709995310605"
"97","Licenca_Medica","Dor_pernas_VAS","0.337853970753681"
"98","Licenca_Medica","IDADE","-0.0759492126584085"
"99","Licenca_Medica","BPI_3_v1","0.200564093154783"
"100","Licenca_Medica","BPI_4_v1","0.224992234175088"
"101","Licenca_Medica","BPI_5_v1","0.123286563869181"
"102","Licenca_Medica","BPI_6_v1","0.0305839235558911"
"103","Licenca_Medica","BPI_8_v1","0.253453652991395"
"104","Licenca_Medica","BPI_9a_v1","0.35359847669509"
"105","Licenca_Medica","BPI_9b_v1","0.320900748007608"
"106","Licenca_Medica","BPI_9c_v1","0.285790533999238"
"107","Licenca_Medica","BPI_9d_v1","0.253855406018543"
"108","Licenca_Medica","BPI_9e_v1","0.265870004510784"
"109","Licenca_Medica","BPI_9f_v1","0.242010900733658"
"110","Licenca_Medica","BPI_9g_v1","0.190873000649452"
"111","Aposentado_Invalidez","Se_SP_haquantosanos",NA
"112","Aposentado_Invalidez","QtCirColuna","0.668878110576698"
"113","Aposentado_Invalidez","Trabalho_Cansativo","-0.100674935623405"
"114","Aposentado_Invalidez","Licenca_Tempo","0.9999"
"115","Aposentado_Invalidez","Tempo_dor_costas","0.188155177328236"
"116","Aposentado_Invalidez","Tempo_dor_pernas","0.197177630750121"
"117","Aposentado_Invalidez","Andar_velocidade","-0.408420074963896"
"118","Aposentado_Invalidez","Dor_costas_VAS","0.142550183306148"
"119","Aposentado_Invalidez","Dor_pernas_VAS","0.663110192804442"
"120","Aposentado_Invalidez","IDADE","0.0179857751717594"
"121","Aposentado_Invalidez","BPI_3_v1","0.299367552924091"
"122","Aposentado_Invalidez","BPI_4_v1","0.176660161975048"
"123","Aposentado_Invalidez","BPI_5_v1","0.269372321566273"
"124","Aposentado_Invalidez","BPI_6_v1","0.0870089841341618"
"125","Aposentado_Invalidez","BPI_8_v1","0.0674648102142877"
"126","Aposentado_Invalidez","BPI_9a_v1","0.265547039950574"
"127","Aposentado_Invalidez","BPI_9b_v1","0.170179747960602"
"128","Aposentado_Invalidez","BPI_9c_v1","0.363343673125007"
"129","Aposentado_Invalidez","BPI_9d_v1","0.298199230752618"
"130","Aposentado_Invalidez","BPI_9e_v1","0.215412138470172"
"131","Aposentado_Invalidez","BPI_9f_v1","0.276872814992494"
"132","Aposentado_Invalidez","BPI_9g_v1","0.189504678268329"
"133","Analg.e9.sicos","Se_SP_haquantosanos","0.333579671605852"
"134","Analg.e9.sicos","QtCirColuna","0.248048683288527"
"135","Analg.e9.sicos","Trabalho_Cansativo","0.0389797388560572"
"136","Analg.e9.sicos","Licenca_Tempo","-0.195655051326347"
"137","Analg.e9.sicos","Tempo_dor_costas","0.633733197683056"
"138","Analg.e9.sicos","Tempo_dor_pernas","0.429791308768722"
"139","Analg.e9.sicos","Andar_velocidade","-0.484965400343171"
"140","Analg.e9.sicos","Dor_costas_VAS","0.57145848409877"
"141","Analg.e9.sicos","Dor_pernas_VAS","0.33069227724438"
"142","Analg.e9.sicos","IDADE","0.0159525933170081"
"143","Analg.e9.sicos","BPI_3_v1","0.226977278706818"
"144","Analg.e9.sicos","BPI_4_v1","0.18260802749658"
"145","Analg.e9.sicos","BPI_5_v1","0.231807662998988"
"146","Analg.e9.sicos","BPI_6_v1","0.525358816279808"
"147","Analg.e9.sicos","BPI_8_v1","0.00913251434322172"
"148","Analg.e9.sicos","BPI_9a_v1","0.171246325055731"
"149","Analg.e9.sicos","BPI_9b_v1","0.191253899431309"
"150","Analg.e9.sicos","BPI_9c_v1","0.119196306283121"
"151","Analg.e9.sicos","BPI_9d_v1","0.191385569256433"
"152","Analg.e9.sicos","BPI_9e_v1","0.199562096761818"
"153","Analg.e9.sicos","BPI_9f_v1","0.140074261222334"
"154","Analg.e9.sicos","BPI_9g_v1","0.198742023193568"
"155","OutraDoenca","Se_SP_haquantosanos","0.731385749502556"
"156","OutraDoenca","QtCirColuna","0.0527249449607792"
"157","OutraDoenca","Trabalho_Cansativo","-0.225788598303751"
"158","OutraDoenca","Licenca_Tempo","0.304352302063207"
"159","OutraDoenca","Tempo_dor_costas","0.245061880535823"
"160","OutraDoenca","Tempo_dor_pernas","0.172542120125097"
"161","OutraDoenca","Andar_velocidade","-0.201339845592207"
"162","OutraDoenca","Dor_costas_VAS","0.156734085512486"
"163","OutraDoenca","Dor_pernas_VAS","0.108337943930224"
"164","OutraDoenca","IDADE","0.438239654571509"
"165","OutraDoenca","BPI_3_v1","0.18405456221906"
"166","OutraDoenca","BPI_4_v1","0.122482616416051"
"167","OutraDoenca","BPI_5_v1","0.20709527094395"
"168","OutraDoenca","BPI_6_v1","0.176089751466542"
"169","OutraDoenca","BPI_8_v1","-0.0195342565401313"
"170","OutraDoenca","BPI_9a_v1","0.134661886900482"
"171","OutraDoenca","BPI_9b_v1","0.114053762612828"
"172","OutraDoenca","BPI_9c_v1","0.225132429413352"
"173","OutraDoenca","BPI_9d_v1","0.132750102628062"
"174","OutraDoenca","BPI_9e_v1","0.106603572840444"
"175","OutraDoenca","BPI_9f_v1","0.152838915005969"
"176","OutraDoenca","BPI_9g_v1","0.0904211460315013"
"177","Dor_costas","Se_SP_haquantosanos","-0.200248787630074"
"178","Dor_costas","QtCirColuna","0.351023058460838"
"179","Dor_costas","Trabalho_Cansativo","-0.026869827188509"
"180","Dor_costas","Licenca_Tempo",NA
"181","Dor_costas","Tempo_dor_costas","0.6942251806513"
"182","Dor_costas","Tempo_dor_pernas","0.218653474049053"
"183","Dor_costas","Andar_velocidade","-0.39518327789799"
"184","Dor_costas","Dor_costas_VAS","0.9999"
"185","Dor_costas","Dor_pernas_VAS","0.403336428136101"
"186","Dor_costas","IDADE","0.0848597948645596"
"187","Dor_costas","BPI_3_v1","0.437429401220202"
"188","Dor_costas","BPI_4_v1","0.382860131968008"
"189","Dor_costas","BPI_5_v1","0.415632730487017"
"190","Dor_costas","BPI_6_v1","0.980412947800817"
"191","Dor_costas","BPI_8_v1","-0.202747746771368"
"192","Dor_costas","BPI_9a_v1","0.239910537187224"
"193","Dor_costas","BPI_9b_v1","0.220254125541964"
"194","Dor_costas","BPI_9c_v1","0.162571462725903"
"195","Dor_costas","BPI_9d_v1","0.282002972482971"
"196","Dor_costas","BPI_9e_v1","0.174314506513696"
"197","Dor_costas","BPI_9f_v1","0.161628957532902"
"198","Dor_costas","BPI_9g_v1","0.16225665493496"
"199","Dor_pernas","Se_SP_haquantosanos","0.708316064797026"
"200","Dor_pernas","QtCirColuna","0.519767457414949"
"201","Dor_pernas","Trabalho_Cansativo","-0.0640017099713312"
