"Binaria","Ordinal","rpb","pvalue","Bin_0","Bin_1","Missing"
"Fuma","Intensidade da dor nas pernas",0.275285817799327,0.00621324923903686,135,46,21
"Fuma","BPI - Atividde geral",0.251038229518139,0.0334020566009149,98,34,23
"Fuma","BPI - Sono",0.30033627484156,0.0106266601082814,98,34,23
"Fuma","Ord_RMDQ",0.386978517368959,0.00511252483576718,97,19,19
"Cirurgia na coluna","Há quanto tempo em São Paulo se de outro local",-0.61313001698415,0.0303805153392877,14,7,4
"Cirurgia na coluna","Quantidade de cirurgias na coluna",0.863549537927935,2.8321779413093e-19,75,55,16
"Cirurgia na coluna","Intensidade da dor nas pernas",0.254094569408531,0.00635727270948545,110,74,18
"Cirurgia na coluna","SF12_M1_1_v1",-0.203695499481943,0.0220317345090883,129,77,26
"Aposentado","Trabalho_Cansativo",-0.505101728054782,7.78807622124467e-06,105,34,0
"Aposentado","IDADE",0.5859499925336,1.57544115502172e-08,155,33,14
"Desempregado","Trabalho_Cansativo",-0.383928223216064,0.00129535845028775,108,29,2
"Desempregado","Dor_costas_VAS",0.33508141402358,0.00356827331265948,137,28,16
"Licenca_Medica","Trabalho_Cansativo",-0.312595800560899,0.0204725978566832,121,18,0
"Licenca_Medica","Intensidade da dor nas pernas",0.337853970753681,0.00644986775881612,168,19,15
"Licenca_Medica","BPI - Atividde geral",0.385243316901982,0.00711568062214101,116,15,24
"Licenca_Medica","BPI - Humor",0.336758884900143,0.0190401368340971,116,15,24
"Licenca_Medica","BPI - Habilidade de caminhar",0.28388572239622,0.0487882396607688,116,15,24
"Aposentado_Invalidez","Quantidade de cirurgias na coluna",0.668878110576698,0.00231788788767767,113,4,29
"Aposentado_Invalidez","Licenca_Tempo",0.9999,0.000170946498870242,4,2,0
"Aposentado_Invalidez","Andar_velocidade",-0.408420074963896,0.0180794971109165,124,8,3
"Aposentado_Invalidez","Intensidade da dor nas pernas",0.663110192804442,3.50594165338191e-05,177,8,17
"Aposentado_Invalidez","Oswestry1_v1",0.436677092692568,0.00686829931505177,183,8,41
"Aposentado_Invalidez","Oswestry2_v1",0.366500737372396,0.0236847328346063,183,8,41
"Aposentado_Invalidez","Oswestry3_v1",0.348214990224665,0.0317211810917983,183,8,41
"Aposentado_Invalidez","Oswestry4_v1",0.319942658165746,0.0486530279944963,183,8,41
"Aposentado_Invalidez","Oswestry5_v1",0.353751183746237,0.0290735779713073,183,8,41
"Aposentado_Invalidez","Oswestry8_v1",0.335844372275477,0.0383859993335422,183,8,41
"Aposentado_Invalidez","Oswestry9_v1",0.372821578015986,0.0213482016151462,183,8,41
"Aposentado_Invalidez","Oswestry10_v1",0.436148824338898,0.00693751145939051,183,8,41
"Aposentado_Invalidez","Somatoria_Owestry",0.384908722328969,0.0174301446522244,183,8,41
"Aposentado_Invalidez","SF12_M1_1_v1",0.442330531643844,0.00616524229142302,183,8,41
"Aposentado_Invalidez","SF12_M1_2_v1",-0.457555527159084,0.00458060903607738,183,8,41
"Aposentado_Invalidez","SF12_M1_3_v1",-0.484924144256158,0.00262336485944285,183,8,41
"Aposentado_Invalidez","SF12_M1_4_v1",-0.400020716656387,0.0134227739281733,183,8,41
"Aposentado_Invalidez","SF12_M1_5_v1",-0.428425664590605,0.00802276757784472,183,8,41
"Aposentado_Invalidez","SF12_M1_6_v1",-0.333337420965958,0.0398715946090244,183,8,41
"Aposentado_Invalidez","SF12_M1_7_v1",-0.418648648631372,0.0096113477814737,183,8,41
"Aposentado_Invalidez","SF12_M1_8_v1",0.42095009840356,0.00921425271220395,183,8,41
"Aposentado_Invalidez","SF12_M1_9_v1",-0.390951899696311,0.0157173731370211,183,8,41
"Aposentado_Invalidez","SF12_M1_11_v1",-0.431916876616079,0.00751477996938824,183,8,41
"Aposentado_Invalidez","SF12_M1_12_v1",-0.421827965866624,0.00906665456584032,183,8,41
"Analgésicos","Quantidade de cirurgias na coluna",0.248048683288527,0.0291610744975977,40,95,11
"Analgésicos","Tempo com a dor nas costas",0.633733197683056,1.31884191205146e-09,44,96,2
"Analgésicos","Tempo com dor que irradia p/ as pernas",0.429791308768722,8.20174432758172e-05,43,96,2
"Analgésicos","Andar_velocidade",-0.484965400343171,8.76919643395936e-06,45,88,2
"Analgésicos","Dor_costas_VAS",0.57145848409877,1.19163690149896e-09,57,118,6
"Analgésicos","Intensidade da dor nas pernas",0.33069227724438,0.000333472622033522,63,133,6
"Analgésicos","BPI_3_v1",0.226977278706818,0.0113742678938085,66,147,23
"Analgésicos","BPI_4_v1",0.18260802749658,0.0422812897341348,66,147,23
"Analgésicos","BPI_5_v1",0.231807662998988,0.00971805124007367,66,147,23
"Analgésicos","Intensidade da dor no momento",0.525358816279808,2.84601396464967e-06,40,87,4
"Analgésicos","Oswestry1_v1",0.266119543605869,0.00326202909217007,64,145,23
"Analgésicos","Oswestry2_v1",0.288394049361631,0.00140278482171394,64,145,23
"Analgésicos","Oswestry4_v1",0.246752119147835,0.00645463104353462,64,145,23
"Analgésicos","Oswestry7_v1",0.227843635664423,0.0120163152293236,64,145,23
"Analgésicos","Oswestry8_v1",0.221760636316213,0.0145409405144878,64,145,23
"Analgésicos","Oswestry9_v1",0.235803667036975,0.00929954218061518,64,145,23
"Analgésicos","Oswestry10_v1",0.22565465404429,0.0128764844858289,64,145,23
"Analgésicos","Somatoria_Owestry",0.237874033192216,0.00868883877756011,64,145,23
"Analgésicos","Ord_RMDQ",0.306823776997326,0.013828788172203,29,92,14
"Analgésicos","SF12_M1_1_v1",0.374165665707946,2.91147447034394e-05,64,145,23
"Analgésicos","SF12_M1_2_v1",-0.381461120506979,1.99499760840007e-05,64,145,23
"Analgésicos","SF12_M1_3_v1",-0.334920923800102,0.000194707683291886,64,145,23
"Analgésicos","SF12_M1_4_v1",-0.373420949376006,3.02467026785951e-05,64,145,23
"Analgésicos","SF12_M1_5_v1",-0.346032744817655,0.000116263336861781,64,145,23
"Analgésicos","SF12_M1_6_v1",-0.421326704908232,2.1905517037865e-06,64,145,23
"Analgésicos","SF12_M1_7_v1",-0.41801990922217,2.65603699503683e-06,64,145,23
"Analgésicos","SF12_M1_8_v1",0.307779665322143,0.000638396811464428,64,145,23
"Analgésicos","SF12_M1_9_v1",-0.234904408250401,0.00957643732848435,64,145,23
"Analgésicos","SF12_M1_10_v1",-0.224821902100917,0.0132176504829873,64,145,23
"Analgésicos","SF12_M1_11_v1",-0.30945281271617,0.000595060371009101,64,145,23
"Analgésicos","SF12_M1_12_v1",-0.31853030850341,0.000403699644797949,64,145,23
"OutraDoenca","Há quanto tempo em São Paulo se de outro local",0.731385749502556,0.00220984252422541,12,13,0
"OutraDoenca","Trabalho_Cansativo",-0.225788598303751,0.0395754732567885,83,52,4
"OutraDoenca","Tempo com a dor nas costas",0.245061880535823,0.0237273636545664,85,53,4
