"","denominador","numerador","Frequência","P-value","Qtd_1_Denom","Qtd_0_Demon","D0N0","D0N1","D1N0","D1N1"
"1","Dor nas costas","Dor nas costas",1,6.20015755310937e-47,128,79,79,0,0,128
"2","Dor nas pernas","Dor nas costas",0.84375,5.85912419612062e-06,64,139,68,71,10,54
"3","Livrar_costas","Dor nas costas",0.918918918918919,5.90344938486379e-05,111,16,7,9,9,102
"4","Livrar_perna","Dor nas costas",0.571428571428571,0.000297932765117485,14,113,10,103,6,8
"5","Lombalgia","Dor nas costas",0.918032786885246,8.1543225775394e-07,61,67,32,35,5,56
"6","RMDQ1_v1","Dor nas costas",0.689189189189189,0.45740839548198,74,115,44,71,23,51
"7","RMDQ2_v1","Dor nas costas",0.721518987341772,0.136458250890013,79,110,45,65,22,57
"8","RMDQ3_v1","Dor nas costas",0.690140845070423,0.361938081946207,71,120,45,75,22,49
"9","RMDQ4_v1","Dor nas costas",0.647058823529412,0.969940903729132,51,140,49,91,18,33
"10","RMDQ5_v1","Dor nas costas",0.671875,0.64131499335514,64,127,46,81,21,43
"11","RMDQ6_v1","Dor nas costas",0.770833333333333,0.0412921038496754,48,143,56,87,11,37
"12","RMDQ7_v1","Dor nas costas",0.823529411764706,0.0176626439468487,34,156,61,95,6,28
"13","RMDQ8_v1","Dor nas costas",0.875,0.168562916891474,8,182,66,116,1,7
"14","RMDQ9_v1","Dor nas costas",0.827586206896552,0.0273418247313347,29,161,62,99,5,24
"15","RMDQ10_v1","Dor nas costas",0.828571428571429,0.0129869015417078,35,155,61,94,6,29
"16","RMDQ11_v1","Dor nas costas",0.828571428571429,0.0129869015417078,35,155,61,94,6,29
"17","RMDQ12_v1","Dor nas costas",0.794871794871795,0.030568113837077,39,151,59,92,8,31
"18","RMDQ13_v1","Dor nas costas",0.75,0.126265896680955,40,150,57,93,10,30
"19","RMDQ14_v1","Dor nas costas",0.813953488372093,0.00934211538495321,43,147,59,88,8,35
"20","RMDQ15_v1","Dor nas costas",0.807692307692308,0.0655286404567252,26,164,62,102,5,21
"21","RMDQ16_v1","Dor nas costas",0.84375,0.0107818276470636,32,158,62,96,5,27
"22","RMDQ17_v1","Dor nas costas",0.738095238095238,0.163213774684252,42,148,56,92,11,31
"23","RMDQ18_v1","Dor nas costas",0.870967741935484,0.00439466950630126,31,159,63,96,4,27
"24","RMDQ19_v1","Dor nas costas",0.814814814814815,0.0492877297742991,27,163,62,101,5,22
"25","RMDQ20_v1","Dor nas costas",0.84375,0.0107818276470636,32,158,62,96,5,27
"26","RMDQ21_v1","Dor nas costas",0.767441860465116,0.0609938629334045,43,147,57,90,10,33
"27","RMDQ22_v1","Dor nas costas",0.78125,0.0821699604389636,32,158,60,98,7,25
"28","RMDQ23_v1","Dor nas costas",0.8125,0.0320359554146977,32,158,61,97,6,26
"29","RMDQ24_v1","Dor nas costas",0.833333333333333,0.0201725786429304,30,160,62,98,5,25
"30","Dor nas costas","Dor nas pernas",0.432,5.85912419612062e-06,125,78,68,10,71,54
"31","Dor nas pernas","Dor nas pernas",1,2.7988808376563e-46,65,139,139,0,0,65
"32","Livrar_costas","Dor nas pernas",0.4,0.000663642262154395,110,15,2,13,66,44
"33","Livrar_perna","Dor nas pernas",0.928571428571429,0.000164948611540917,14,111,67,44,1,13
"34","Lombalgia","Dor nas pernas",0.655737704918033,1.12376429601106e-06,61,66,51,15,21,40
"35","RMDQ1_v1","Dor nas pernas",0.364864864864865,0.707240280554545,74,113,75,38,47,27
"36","RMDQ2_v1","Dor nas pernas",0.367088607594937,0.683484612687491,79,108,72,36,50,29
"37","RMDQ3_v1","Dor nas pernas",0.328571428571429,0.733409291050627,70,119,77,42,47,23
"38","RMDQ4_v1","Dor nas pernas",0.235294117647059,0.0559905895730544,51,138,85,53,39,12
"39","RMDQ5_v1","Dor nas pernas",0.34375,0.997267956586687,64,125,82,43,42,22
"40","RMDQ6_v1","Dor nas pernas",0.375,0.599647884962992,48,141,94,47,30,18
"41","RMDQ7_v1","Dor nas pernas",0.441176470588235,0.196112821438704,34,154,104,50,19,15
"42","RMDQ8_v1","Dor nas pernas",0.375,0.858877036374012,8,180,118,62,5,3
"43","RMDQ9_v1","Dor nas pernas",0.482758620689655,0.0916200474716384,29,159,108,51,15,14
"44","RMDQ10_v1","Dor nas pernas",0.428571428571429,0.253431775477885,35,153,103,50,20,15
"45","RMDQ11_v1","Dor nas pernas",0.457142857142857,0.124536027938523,35,153,104,49,19,16
"46","RMDQ12_v1","Dor nas pernas",0.384615384615385,0.566435176918238,39,149,99,50,24,15
"47","RMDQ13_v1","Dor nas pernas",0.35,0.949148408669351,40,148,97,51,26,14
"48","RMDQ14_v1","Dor nas pernas",0.357142857142857,0.86010327939387,42,146,96,50,27,15
"49","RMDQ15_v1","Dor nas pernas",0.44,0.287253249877641,25,163,109,54,14,11
"50","RMDQ16_v1","Dor nas pernas",0.375,0.70247329917042,32,156,103,53,20,12
"51","RMDQ17_v1","Dor nas pernas",0.333333333333333,0.847813712224347,42,146,95,51,28,14
"52","RMDQ18_v1","Dor nas pernas",0.451612903225806,0.175035103529074,31,157,106,51,17,14
"53","RMDQ19_v1","Dor nas pernas",0.518518518518518,0.0413763918885079,27,161,110,51,13,14
