"","denominador","numerador","Frequência","P-value","Qtd_1_Denom","Qtd_0_Demon","D0N0","D0N1","D1N0","D1N1"
"102","Fuma","Cirurgia na coluna",0.647058823529412,0.000756144213616695,34,144,96,48,12,22
"104","Aposentado","Cirurgia na coluna",0.606060606060606,0.00526436526379383,33,151,99,52,13,20
"111","Dor nas pernas","Cirurgia na coluna",0.555555555555556,0.003576257458436,54,132,89,43,24,30
"615","Dor nas costas","Analgésicos",0.811475409836066,6.19708737412872e-07,122,78,41,37,23,99
"676","RMDQ3_v1","Analgésicos",0.830985915492958,0.00635828553423594,71,128,45,83,12,59
"698","DN4 - Queimação","Analgésicos",0.795698924731183,0.00120430910508866,93,105,44,61,19,74
"710","Aposentado","OutraDoenca",0.513513513513513,0.0358790520062171,37,158,106,52,18,19
"791","RMDQ17_v1","OutraDoenca",0.619047619047619,0.000844379623581643,42,147,98,49,16,26
"815","Analgésicos","Dor nas costas",0.727941176470588,6.19708737412872e-07,136,64,41,23,37,99
"881","RMDQ6_v1","Dor nas costas",0.770833333333333,0.0412921038496754,48,143,56,87,11,37
"900","DN4 - Queimação","Dor nas costas",0.686046511627907,0.0498363660707855,86,106,48,58,27,59
"948","D29","Dor nas pernas",0.731707317073171,2.73628343171399e-06,41,86,61,25,11,30
"950","Lombalgia","Dor nas pernas",0.655737704918033,1.12376429601106e-06,61,66,51,15,21,40
"995","RMDQ19_v1","Dor nas pernas",0.518518518518518,0.0413763918885079,27,161,110,51,13,14
"1003","DN4 - Choque elétrico","Dor nas pernas",0.547169811320755,4.06963731872765e-05,53,139,106,33,24,29
"1004","DN4 - Formigamento","Dor nas pernas",0.51063829787234,0.00153960439967824,47,145,107,38,23,24
"1406","DN4 - Sensação de frio dolorosa","Casado/Amasiaado",0.675,0.000500219567324592,40,142,90,52,13,27
"3848","Dor nas pernas","D29",0.545454545454545,2.73628343171399e-06,55,72,61,11,25,30
"3910","RMDQ5_v1","D29",0.515151515151515,0.0243988930803844,33,85,60,25,16,17
"4043","Aposentado","Lombalgia",0.645161290322581,0.0252328425788867,31,101,59,42,11,20
"4050","Dor nas pernas","Lombalgia",0.727272727272727,1.12376429601106e-06,55,72,51,21,15,40
"4110","RMDQ3_v1","Lombalgia",0.666666666666667,0.0417661530807971,36,82,44,38,12,24
"4132","DN4 - Queimação","Lombalgia",0.584905660377358,0.0302170854629842,53,65,40,25,22,31
"4134","DN4 - Choque elétrico","Lombalgia",0.638888888888889,0.0214744404722358,36,83,49,34,13,23
"4137","DN4 - Adormecimento","Lombalgia",0.636363636363636,0.0283122434292819,33,85,50,35,12,21
"6837","RMDQ3_v1","RMDQ1_v1",0.607594936708861,8.13536480635045e-07,78,141,104,37,30,48
